"","wordlist","neg.avg","neg.sd","RT","RT.sd","avg.cor","avg.inc","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"214","FOOD",0.00980392156862745,0.0990147542976674,761.320640448794,306.862328661845,0,1,"4","59724","11","3","1","1","616.88","1","571.19","1","4809","7.52","1.38","42","4.69","2.63","42","6.08","2.15","48","7.86","1.17","14","7.36","1.47","28","4.94","2.49","16","4.54","2.75","26","6.12","2.64","17","6.17","1.82","30","7.33","1.14","18","7.67","1.55","24","4.79","2.68","19","4.61","2.64","23","6.06","2.37","32","6.33","1.54","15","7.46","1.53","26","7.62","1.15","16","4.44","3","25","5.06","1.98","17","5.89","2.42","28","6.35","1.73","20","POS"
"224","FRUITFUL",0.03,0.171446607997765,769.249600310099,214.000318858874,0,1,"8","767","6.64","6","2","2","666.94","0.97","690.28","1","4987","7.11","1.49","19","4.14","2.42","22","6.91","1.9","22","7.09","1.58","11","6.86","1.35","7","4.12","2.59","8","4.14","2.41","14","6.71","2.21","7","7","1.81","15","7","1.6","8","7.18","1.47","11","3.44","2.4","9","4.62","2.4","13","6.36","2.01","11","7.45","1.69","11","7.33","1.72","12","6.71","0.95","7","4.55","3.05","11","3.73","1.62","11","7.08","2.02","12","6.7","1.83","10","POS"
"226","FUNERAL",0.941176470588235,0.23645607097364,779.032155796887,211.23340527028,0,1,"7","3227","8.08","8","3","2","651.21","1","664.81","1","5017","2.07","1.89","43","4.1","2.57","20","3.06","2.17","47","2.2","1.79","20","1.96","2.01","23","3.6","2.55","10","4.6","2.63","10","3.24","2.02","17","2.86","2.25","29","2.19","1.91","16","2","1.92","27","3","2.52","7","4.69","2.5","13","3.19","1.97","31","2.6","2.5","15","2.26","2.1","19","1.92","1.74","24","4.7","2.75","10","3.5","2.37","10","3.71","2.46","28","2.11","1.15","19","NEG"
"231","GENTLEMAN",0.0490196078431373,0.216975199586239,828.72020040292,299.159090694132,0,1,"9","4731","8.46","8","3","2","729.26","1","671.35","0.96","5150","7.5","1.6","22","4.14","2.63","21","6.06","2.07","18","7.5","1.64","6","7.47","1.68","15","2.86","2.54","7","4.79","2.52","14","6","2.29","9","5.88","1.96","8","7.5","1.74","14","7.43","1.51","7","3.78","2.44","9","4.42","2.84","12","6.1","2.42","10","6","1.69","8","7.5","1.7","14","7.5","1.51","8","3.33","2.58","6","4.47","2.67","15","6.1","2.42","10","6","1.69","8","POS"
"328","LAWSUIT",0.882352941176471,0.323780809828263,834.999163464448,220.321807169576,0,1,"7","3855","8.26","5","2","2","684.35","1","629.3","1","6968","2.84","1.46","19","5.39","2.54","41","3.2","2.24","20","3.67","1.15","3","2.69","1.49","16","5","2.38","19","5.71","2.74","21","3.5","2.26","6","3.07","2.3","14","2.8","1.32","10","2.89","1.69","9","5.1","2.7","21","5.7","2.39","20","4.1","2.51","10","2.3","1.57","10","3.12","1.55","8","2.64","1.43","11","5.48","2.75","27","5.21","2.15","14","3.5","3.07","8","3","1.6","12","NEG"
"332","LEMONADE",0,0,774.813973428322,263.328575759785,0,1,"8","403","6","7","3","2","643.42","0.97","614.15","1","7024","7.05","1.62","22","4.63","2.54","19","6","1.82","21","6.4","1.95","5","7.38","1.45","16","5.25","3.11","8","4.18","2.09","11","4.9","1.52","10","7","1.48","11","6.92","1.83","12","7.2","1.4","10","4.4","2.22","10","4.89","2.98","9","6.08","2.19","12","5.89","1.27","9","7","1.41","11","7.09","1.87","11","4.12","2.3","8","5","2.76","11","5.11","1.69","9","6.67","1.67","12","POS"
"345","LOVABLE",0.0196078431372549,0.139333076031824,694.483426088518,165.219645056249,0,1,"7","419","6.04","6","3","2","636.94","1","634.79","1","7245","8.26","0.99","19","5.41","2.72","22","6.83","2.33","24","8.33","1.21","6","8.23","0.93","13","5.5","2.68","12","5.3","2.91","10","5.25","3.11","8","7.62","1.36","16","7.8","1.14","10","8.78","0.44","9","5.89","2.8","9","5.08","2.72","13","6.82","2.35","17","7","2.68","6","8.88","0.35","8","7.82","1.08","11","5.78","2.82","9","5.15","2.73","13","7.06","2.43","16","6.38","2.2","8","POS"
"367","MISFIRE",0.970588235294118,0.16979208910779,848.173776238041,298.932646892968,0,1,"7","191","5.25","6","2","2","756.57","0.9","706.27","1","7768","2.63","1.57","19","4.64","2.42","22","3","1.93","23","3.83","1.72","6","2.08","1.19","13","4.92","2.19","12","4.3","2.75","10","3.5","2.07","8","2.73","1.87","15","2.8","1.48","10","2.44","1.74","9","5.44","2.07","9","4.08","2.56","13","3.24","1.99","17","2","1.73","5","2.62","1.51","8","2.64","1.69","11","3.56","2.46","9","5.38","2.18","13","2.67","1.88","15","3.62","2","8","NEG"
"376","MOTHER",0,0,740.294952357042,245.789699749478,0,1,"6","42113","10.65","4","2","1","566.21","1","565.61","1","7922","7.53","1.86","80","4.73","2.92","106","6.11","2.64","74","7.03","2.19","30","7.84","1.59","49","4.8","2.89","41","4.68","2.95","65","5.78","2.58","37","6.39","2.72","36","7.65","1.88","46","7.36","1.87","33","5.1","2.89","52","4.37","2.92","54","6.08","2.57","39","6.12","2.79","34","7.67","1.87","45","7.34","1.85","35","5.17","2.94","54","4.27","2.84","52","6.15","2.8","34","6.08","2.54","40","POS"
"382","MUSIC",0.0196078431372549,0.139333076031824,736.012988976046,218.746339995365,0,1,"5","134404","11.81","6","2","1","554.41","0.97","599.48","1","8017","7.67","1.82","40","5.57","3.09","23","6.5","2.25","48","7.87","1.25","15","7.56","2.1","25","4.91","3.33","11","6.17","2.86","12","6.67","2.63","18","6.4","2.03","30","7.68","2.29","19","7.67","1.32","21","6.91","2.74","11","4.33","2.96","12","6.3","2.34","33","6.93","2.05","15","7.33","2.16","24","8.19","0.98","16","6.64","2.66","11","4.58","3.23","12","6.46","2.16","26","6.55","2.4","22","POS"
