Occurrences,Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
1,sunset,6,14,"3,475",8.153,10.31,2.722,4.47,2.575,0,0,0,0,0,#,#,#,#,#,#,#,#,#,#,2.05,7.193,2.75,5.24,4.54,0.584,"2,191",1.619,6.06,2.333,7.46,4.68,5.32,86,29,289,108,"15,829","3,165.80","3,664","s""Vn.s%Et",6,2,{sun}{set},"{s""Vn}.{s%Et}",2,NN,612.031,-0.641,141.949,28,0.97,620.607,-0.365,154.64,#,1
1,survival,8,32,"9,737",9.184,10.1,2.713,5.02,2.625,0,3,3,0,0,#,7.656,7.656,#,#,#,#,#,#,#,2.65,7.124,3,7.063,2.34,0.625,"5,182",1.903,8.47,#,7.05,5.4,5.86,14,13,117,83,"14,673","2,096.14","3,146","s@`.v""aIv.l=",6,3,{sur--vive}>al>,"{s@`-.-v""aIv}.>l=>",3,NN,684.882,-0.396,258.701,27,1,653.37,-0.324,100.126,#,1
1,terminal,8,12,"24,678",10.114,7.65,2.592,2.97,2.398,1,0,0,0,0,4.4,#,#,#,#,0,#,1,4.4,2.32,2.6,6.87,2.8,7.381,3.86,0.624,"4,806",1.698,9.33,#,4.27,3.68,4.15,11,10,77,49,"48,887","6,983.86","6,146","t""3`.m@.nl=",6,3,{termin--al},"{t""3`.m@.n--l=}",2,NN|JJ,630.471,-0.582,182.347,24,1,681.125,-0.276,162.281,#,1
1,thick,5,67,"11,429",9.344,13.98,2.854,6.72,2.752,3,18,18,1,1,10.4,8.607,8.607,8.064,8.064,2,11.5,1,8.1,0.9,1.75,8.487,1.2,9.184,4,0.608,"3,056",1.759,5.61,1.724,4.63,3.13,5.72,239,98,737,298,"11,350","2,837.50","2,152","T""Ik",3,1,{thick},"{T""Ik}",1,JJ|NN|RB,662.406,-0.626,322.767,27,0.91,650.852,-0.353,155.608,#,0.964
1,thinker,7,6,"1,007",6.915,1.18,1.785,0.68,1.763,2,5,5,0,0,7.5,6.267,6.267,#,#,2,7.5,0,#,0.92,1.8,6.243,1.8,6.744,2.54,0.503,0,1.474,7.61,#,7.26,4.45,7.68,60,37,167,97,"35,132","5,855.33","4,994","T""INk.@`",5,2,{think}>er>,"{T""INk}.>@`>",2,NN,568.344,-0.73,104.531,27,0.97,582.481,-0.648,118.645,#,1
1,traffic,7,68,"25,455",10.145,28.51,3.163,11.83,2.997,0,2,2,0,0,#,8.702,8.702,#,#,#,#,#,#,#,2.95,6.607,1.85,7.759,4.67,0.651,"6,683",1.531,6.22,3.542,2.18,5.25,5.58,207,84,790,254,"16,761","2,793.50","3,618","tr""a.fIk",6,2,{traffic},"{tr""a.fIk}",1,NN,584.355,-0.766,256.24,28,0.97,582.714,-0.533,105.731,#,1
1,treasured,9,2,287,5.659,0.59,1.491,0.3,1.415,2,3,3,2,2,7.3,7.684,7.684,7.316,7.316,2,7.3,0,#,0.77,2.5,7.513,2.45,7.636,2.52,0.345,0,1.811,8.47,#,7.14,5.16,7.05,8,5,26,17,"38,499","4,812.38","5,381","tr""E.Zrd",6,2,{treasure}>ed>,"{tr""E.Zr}>d>",2,VB,699.844,-0.251,274.346,28,0.97,650.321,-0.339,85.489,#,1
1,trick,5,15,"15,658",9.659,47.27,3.382,18.19,3.184,8,18,18,6,6,7.6,7.515,7.515,7.893,7.893,1,10.7,7,7.2,1.27,1.5,8.285,1,7.996,3.36,0.596,"3,087",1.799,6.05,2.043,4.89,5.57,3.22,274,94,711,219,"15,934","3,983.50","2,927","tr""Ik",4,1,{trick},"{tr""Ik}",1,NN|VB,619.059,-0.672,342.478,27,1,584.37,-0.589,87.059,#,1
1,urine,5,1,"3,418",8.137,6.51,2.522,2.66,2.35,1,2,2,0,0,7.8,7.303,7.303,#,#,0,#,1,7.8,1.04,1.95,7.714,1.95,7.572,4.93,0.566,31,1.32,9.83,#,2.9,4.38,4.55,81,25,229,67,"28,773","7,193.25","2,580","j""U.r@n",5,2,{urine},"{j""U.r@n}",1,NN,642.824,-0.45,171.629,26,1,688.5,-0.244,185.478,#,0.963
1,useless,7,17,"13,510",9.511,19.94,3.008,9.13,2.885,0,0,0,0,0,#,#,#,#,#,#,#,#,#,#,2.6,6.243,2.35,4.977,1.78,0.569,890,1.961,7.05,#,2.8,4.39,4.65,263,99,793,337,"33,890","5,648.33","3,129","j""us.l@s",6,2,{use}>less>,"{j""us}.>l@s>",2,JJ,684.581,-0.395,277.872,25,1,679.96,-0.277,177.221,#,0.962
1,vandal,6,#,191,5.252,0.29,1.204,0.12,1.041,1,7,7,1,1,5,6.43,6.43,4.984,4.984,0,#,1,5,1.05,2.25,7.24,1.65,7.535,3.92,0.333,0,1.542,10.72,#,2.32,4.84,3.25,8,6,21,15,"18,551","3,710.20","3,387","v""an.4l=",5,2,{vandal},"{v""an.4l=}",1,JJ,727.167,-0.132,255.791,27,0.88,652.704,-0.315,143.232,#,0.964
1,wreck,5,8,"2,161",7.678,13.67,2.844,6.18,2.715,2,35,35,2,2,4.9,8.048,8.048,4.939,4.939,0,#,2,4.9,1.55,1.9,7.872,1,8.81,4.07,0.566,815,1.843,7.59,2.792,1.62,4.65,4.27,55,31,153,76,"12,916","3,229.00","2,547","r""Ek",3,1,{wreck},"{r""Ek}",1,NN|VB,625.125,-0.596,158.169,27,0.94,620.111,-0.543,85.55,#,1
1,decay,5,14,"3,565",8.179,2.06,2.025,0.97,1.914,3,8,8,1,1,7.1,5.376,5.376,9.478,9.478,1,9.5,2,5.8,1.16,1.8,7.134,1.85,7.847,3.89,0.58,"1,376",1.741,8.79,1.96,2.4,4.59,2.84,92,35,265,109,"11,978","2,994.50","3,039","dI.k""e",4,2,{decay},"{dI.k""e}",1,NN|VB,685.147,-0.364,323.117,27,1,702.481,-0.126,186.278,#,1
1,batter,6,2,"1,364",7.218,3.98,2.31,1.17,1.996,16,26,26,11,11,6.6,6.861,6.861,7.107,7.107,5,10.3,11,4.9,1.1,1.25,6.914,1,7.456,4.41,0.515,0,1.693,7.05,#,5.24,3.85,6,29,20,106,59,"33,234","6,646.80","6,550","b""a.4@`",4,2,{batter},"{b""a.4@`}",1,NN|VB,724.485,-0.216,263.558,27,0.97,639.481,-0.368,147.052,#,1
1,beat,4,68,"33,104",10.407,131.69,3.827,38.05,3.504,20,42,48,13,16,8.4,8.469,8.334,8.211,8.056,1,12.5,19,8.2,1.24,1,8.357,1,9.959,3.97,0.649,"6,293",1.739,6.15,2.76,4.38,5.52,5.59,261,97,756,263,"13,280","4,426.67","2,723","b""it",3,1,{beat},"{b""it}",1,VB|NN,590.156,-0.663,156.457,21,1,550,-0.792,75.467,#,1
1,brave,5,24,"5,524",8.617,31.71,3.209,13.25,3.046,7,14,14,6,6,7,5.952,5.952,6.863,6.863,2,8.8,5,6.3,1.23,1.5,7.472,1.3,7.593,2.26,0.581,"1,929",1.894,6,1.407,7.38,4.95,6.84,483,98,986,252,"11,526","2,881.50","3,034","br""ev",4,1,{brave},"{br""ev}",1,JJ,573.094,-0.833,206.127,27,0.97,560.704,-0.752,61.168,#,1
1,break,5,88,"47,766",10.774,221.08,4.052,59.88,3.701,6,21,25,0,0,6.7,5.691,5.829,#,#,0,#,6,6.7,1.6,1.65,8.122,1.2,7.811,3.71,0.673,"8,291",2.149,5.3,2.042,5.1,4.71,4.5,546,199,"1,520",551,"13,283","3,320.75","2,965","br""ek",4,1,{break},"{br""ek}",1,VB|NN,604.147,-0.656,198.548,28,1,591.964,-0.703,140.455,#,1
1,catch,5,43,"22,587",10.025,135.51,3.84,44.89,3.576,8,31,31,7,7,7.8,7.381,7.381,7.323,7.323,3,10.5,5,6.1,1.29,1.65,7.825,1.35,8.653,4.11,0.631,"5,641",1.881,4.61,2.32,5.64,4,5.47,145,50,423,150,"15,973","3,993.25","3,440","k""atS",3,1,{catch},"{k""atS}",1,VB|NN,549.061,-0.764,154.941,27,1,608.333,-0.537,91.724,#,1
1,check,5,88,"170,581",12.047,278.98,4.153,63.1,3.724,4,24,30,4,4,8,8.213,8.198,7.971,7.971,0,#,4,8,1.51,1.7,7.681,1.4,8.64,4.11,0.635,"5,893",1.915,5.53,4.045,6.55,3.38,4.67,243,113,683,267,"11,349","2,837.25","2,568","tS""Ek",3,1,{check},"{tS""Ek}",1,VB|NN,596.091,-0.629,168.291,27,0.97,603.815,-0.521,108.052,#,0.964
1,close,5,234,"84,927",11.35,219.43,4.049,61.77,3.715,3,21,25,2,2,8.9,5.691,5.868,8.644,8.644,0,#,3,8.9,1.27,1.6,8.121,1.15,7.723,3.2,0.692,"9,214",2.216,4.5,1.625,5.23,3.81,5.94,598,189,"1,651",507,"9,992","2,498.00","2,306","kl""oz",4,1,{close},"{kl""oz}",1,VB,542.706,-0.844,140.991,28,1,590.429,-0.656,96.967,#,1
1,club,4,145,"63,264",11.055,98.78,3.702,25.7,3.334,2,3,3,0,0,7.6,6.314,6.314,#,#,0,#,2,7.6,1.45,1.85,7.274,1.75,7.337,3.78,0.667,"7,584",1.606,5.89,5.458,6.5,3.76,5.11,315,129,829,302,"3,015","1,005.00","1,097","kl""Vb",4,1,{club},"{kl""Vb}",1,NN|VB,547.029,-0.839,177.86,27,1,606.074,-0.56,127.971,#,1
1,comedian,8,5,"1,124",7.025,4.1,2.322,1.6,2.13,0,2,2,0,0,#,5.725,5.725,#,#,#,#,#,#,#,2.95,6.94,2.6,7.404,4.04,0.594,"2,013",1.338,8.89,#,7.6,5.78,6.48,32,19,107,51,"31,831","4,547.29","6,687","k@.m""i.4i@n",8,3,{comedy}>an>,"{k@.m""i.4i$}>@n>",2,NN,662.531,-0.456,252.868,24,0.97,701.417,-0.026,114.424,#,1
1,comic,5,9,"17,078",9.746,10.82,2.743,3.6,2.481,3,3,3,2,2,5.7,5.561,5.561,5.226,5.226,0,#,3,5.7,1.71,1.8,7.433,1.75,7.128,4,0.644,"6,342",1.419,7,4.88,7.5,4.3,5.6,77,52,227,126,"14,134","3,533.50","5,170","k""A.mIk",5,2,{comic},"{k""A.mIk}",1,JJ|NN,594.029,-0.649,114.288,27,1,593.519,-0.541,91.919,#,1
1,court,5,230,"57,767",10.964,100.73,3.711,21.92,3.265,1,27,27,0,0,10.4,7.124,7.124,#,#,0,#,1,10.4,1.05,1.85,8.245,1,8.993,4.31,0.669,"7,806",1.776,8.39,3.739,3.52,4.43,3.94,473,127,"1,644",362,"13,092","3,273.00","4,964","k""Ort",4,1,{court},"{k""Ort}",1,NN|VB,586.844,-0.708,227.311,27,0.94,591.556,-0.532,95.542,#,1
1,crappy,6,#,"3,155",8.057,4.96,2.405,2.61,2.342,0,7,7,0,0,#,4.59,4.59,#,#,#,#,#,#,#,1.95,6.375,1.65,6.614,1.67,0.224,0,#,7.72,#,2.35,5.26,3.92,33,13,76,33,"10,347","2,069.40","2,774","kr""ap.i",5,2,{crap}>y>,"{kr""ap}.>i>",2,JJ,713.353,-0.259,250.568,28,1,606.143,-0.479,91.847,#,1
1,crook,5,3,"1,171",7.066,5.67,2.462,2.34,2.295,4,9,9,3,3,6,6.674,6.674,6.673,6.673,1,7.9,3,5.4,1.17,1.65,7.597,1.5,7.671,3.79,0.495,0,1.66,7.84,3,2.86,4.62,3.82,88,52,195,113,"8,281","2,070.25","2,611","kr""Uk",4,1,{crook},"{kr""Uk}",1,NN|VB,686.188,-0.295,236.826,25,0.94,601.88,-0.529,107.144,#,1
1,crush,5,4,"3,571",8.181,16.8,2.933,7.45,2.797,4,6,6,2,2,7.6,6.676,6.676,9.253,9.253,2,9.3,2,5.9,1.08,1.8,7.34,1.65,7.626,3.9,0.585,"2,136",1.882,7.58,2.391,4.72,5.6,3.96,72,38,245,118,"8,648","2,162.00","1,805","kr""VS",4,1,{crush},"{kr""VS}",1,VB|NN,614.656,-0.729,253.993,28,0.97,587.964,-0.618,79.262,#,1
1,deadly,6,19,"5,362",8.587,9.88,2.703,4.85,2.611,1,3,3,0,0,7.1,6.413,6.413,#,#,0,#,1,7.1,1.21,1.95,7.717,1.85,7.178,2.7,0.598,"3,239",1.758,6.11,#,1.9,5.04,3.73,108,46,283,119,"14,614","2,922.80","3,934","d""Ed.li",5,2,{dead}>ly>,"{d""Ed}.>li>",2,JJ,592.676,-0.609,133.28,29,1,597.448,-0.72,79.803,#,1
1,amuse,5,3,644,6.468,2.61,2.127,1.37,2.064,1,3,3,1,1,10.2,7.546,7.546,10.163,10.163,1,10.2,0,#,0.64,1.85,7.223,1.8,7.152,2.57,0.333,0,1.674,9,1.739,7.1,5.17,6.8,29,10,48,21,"9,769","2,442.25","1,422","@.mj""uz",5,2,{amuse},"{@.mj""uz}",1,VB,749.364,-0.411,399.065,24,0.97,653.333,-0.434,169.409,#,0.96
1,direct,6,129,"54,882",10.913,24.04,3.089,11.1,2.969,1,0,0,0,0,3,#,#,#,#,0,#,1,3,3.58,2,7.536,2,8.454,2.15,0.684,"8,743",2.249,9.68,2.16,5.75,4.29,6.38,105,61,333,179,"17,866","3,573.20","3,768","d@.r""Ekt",6,2,{direct},"{d@.r""Ekt}",1,JJ|VB|NN|RB,587,-0.649,138.133,26,0.94,630.769,-0.456,131.119,#,0.963
1,discipline,10,27,"7,415",8.911,9.06,2.666,3.99,2.526,0,0,0,0,0,#,#,#,#,#,#,#,#,#,#,3.3,6.169,2.85,7.001,2.24,0.621,"4,740",1.534,7.7,#,5.9,5.8,5.96,68,46,255,156,"41,073","4,563.67","6,309","d""I.s@.plIn",8,3,{discipline},"{d""I.s@.plIn}",1,NN|VB,709.529,-0.301,319.582,28,1,657.929,-0.348,133.466,#,1
1,evil,4,72,"43,736",10.686,73.16,3.572,19.05,3.204,1,7,7,0,0,7.2,7.79,7.79,#,#,0,#,1,7.2,1.47,1.9,8.265,1.75,8.024,1.93,0.64,"6,067",1.586,6.71,#,2.34,5.67,3.6,890,341,"2,414",771,"5,480","1,826.67",694,"""i.vl=",3,2,{evil},"{""i.vl=}",1,JJ|NN,579.727,-0.727,144.508,26,0.97,639.077,-0.508,141.218,#,1
1,feminine,8,10,"2,642",7.879,4.57,2.369,2.27,2.281,0,0,0,0,0,#,#,#,#,#,#,#,#,#,#,2.9,6.684,2.95,6.336,2.41,0.56,222,1.258,8.26,#,7.33,4.32,5.09,101,40,305,130,"43,414","6,202.00","5,828","f""E.m@.nIn",7,3,{femin--ine},"{f""E.m@.n--In}",2,JJ,733.727,-0.333,318.304,28,0.97,681.607,-0.163,162.226,#,1
1,fighter,7,9,"13,334",9.498,12.78,2.815,4.38,2.566,2,23,23,2,2,8,6.895,6.895,8.039,8.039,0,#,2,8,1.18,1.95,7.245,1.2,7.577,3.96,0.622,"5,172",1.274,6.89,#,5.1,5.3,6.42,121,57,291,126,"26,483","4,413.83","4,939","f""aI4.@`",4,2,{fight}>er>,"{f""aI4}.>@`>",2,NN,649.545,-0.42,175.685,27,0.97,672.963,-0.343,121.225,#,1
1,food,4,147,"59,724",10.997,154.43,3.896,42.98,3.557,10,24,24,3,3,9.3,6.855,6.855,7.919,7.919,1,13.4,9,8.8,1.19,1.45,8.436,1.15,8.106,4.8,0.672,"8,125",1.768,3.25,6.47,7.52,4.69,6.08,"4,898","1,010","12,449","2,117","4,136","1,378.67","1,763","f""ud",3,1,{food},"{f""ud}",1,NN,616.882,-0.651,368.582,27,1,571.185,-0.649,85.551,#,1
1,fruitful,8,7,767,6.642,0.92,1.681,0.51,1.643,0,2,2,0,0,#,4.216,4.216,#,#,#,#,#,#,#,3,5.692,2.55,5.853,2.38,0.443,0,1.91,10.39,#,7.11,4.14,6.91,15,10,40,27,"10,378","1,482.57","2,180","fr""ut.fl=",6,2,{fruit}>ful>,"{fr""ut}.>fl=>",2,JJ,666.935,-0.424,198.697,29,0.97,690.276,-0.153,144.222,#,1
