Word,Length,Freq_HAL,Log_Freq_HAL,NPhon,NSyll,NMorph,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
sob,3,1631,7.4,3,1,1,666.41,0.94,631.89,1
sobbed,6,337,5.82,4,1,2,702.23,0.88,624.67,0.96
sobbing,7,777,6.66,5,2,2,663.31,0.91,637.76,1
sober,5,1703,7.44,4,2,1,606.09,1,613.07,1
sobs,4,405,6,4,1,2,645.25,0.97,626.36,1
soccer,6,7502,8.92,4,2,1,626.62,0.91,659.96,1
social,6,58169,10.97,4,2,2,579,1,609.15,1
socialism,9,4292,8.36,7,4,3,763.48,0.94,697.59,1
socialist,9,5874,8.68,7,3,3,690.7,1,674.68,0.97
socialize,9,705,6.56,6,3,3,716.85,1,673.22,1
socially,8,3083,8.03,5,3,3,737.06,1,692.14,1
society,7,78371,11.27,7,3,2,637,1,661.79,1
sock,4,1146,7.04,3,1,1,565.03,1,654.92,1
socket,6,8514,9.05,5,2,1,668.82,0.97,632.62,1
sockets,7,5049,8.53,6,2,2,736.97,0.85,650.29,1
socks,5,3717,8.22,4,1,2,599.09,1,589.96,1
sod,3,1076,6.98,3,1,1,759.03,0.91,671.64,1
soda,4,3367,8.12,4,2,1,560.65,0.97,617.7,1
sodium,6,2204,7.7,6,2,1,671.61,1,689.04,1
sofa,4,1515,7.32,4,2,1,645.35,0.94,597.68,1
soft,4,22233,10.01,4,1,1,593.81,0.97,628.85,1
softball,8,886,6.79,7,2,2,582.76,1,642.19,0.96
soften,6,791,6.67,4,2,2,645.42,0.97,616.07,1
softened,8,747,6.62,5,2,3,665.65,1,671.42,1
softer,6,1550,7.35,5,2,2,688.36,1,602.21,1
softly,6,3691,8.21,6,2,2,667.94,0.97,638.11,1
softness,8,595,6.39,7,2,2,618.66,0.94,657.32,1
soggy,5,378,5.93,4,2,1,792.41,0.85,655.07,1
soil,4,7607,8.94,3,1,1,586.66,1,649.5,1
soiled,6,618,6.43,4,1,2,635.6,0.94,628,0.96
soils,5,614,6.42,4,1,2,639.91,0.94,685.5,1
solar,5,9613,9.17,4,2,2,629.1,0.91,654.59,1
soldiers,8,12077,9.4,6,2,2,617.91,1,668.63,1
soldier's,9,381,5.94,6,2,2,599,1,706.22,1
sole,4,7668,8.94,3,1,1,616.79,0.94,645.04,1
solely,6,8749,9.08,5,2,2,733.48,0.94,657.89,1
solid,5,24264,10.1,5,2,1,616.44,0.94,612.75,1
solids,6,1353,7.21,6,2,2,562.12,1,639.18,1
solitary,8,1087,6.99,8,4,2,719.56,1,642.85,1
solo,4,17635,9.78,4,2,1,581.53,0.94,606.48,1
solos,5,1522,7.33,5,2,2,730.61,0.97,670.35,1
solutions,9,30914,10.34,7,3,3,664.61,0.97,684.38,1
solve,5,20011,9.9,4,1,1,615.59,0.97,624.41,1
solved,6,9356,9.14,5,1,2,649.53,1,629.86,1
solvent,7,1381,7.23,6,2,2,725.67,0.97,698.26,1
solves,6,1834,7.51,5,1,2,766.9,0.91,641.96,1
solving,7,6617,8.8,6,2,2,637.31,0.97,635.46,1
somebody,8,33446,10.42,7,3,2,638.71,1,608.68,1
somebody's,10,1361,7.22,8,3,3,711.81,0.97,626.66,1
someday,7,6249,8.74,5,2,2,658.88,1,657.65,0.96
somehow,7,25825,10.16,5,2,2,708.94,1,687.5,1
someone's,9,6964,8.85,7,2,3,621.85,0.97,641.78,1
someplace,9,2385,7.78,7,2,2,754.38,1,648.96,1
sometime,8,13368,9.5,6,2,2,693.52,0.97,647.3,1
sometimes,9,82167,11.32,7,2,3,674.06,0.97,605.25,1
somewhat,8,31984,10.37,7,2,2,691.68,0.97,676.48,1
somewhere,9,44763,10.71,7,2,2,682.44,1,665.11,1
son,3,43980,10.69,3,1,1,532.25,1,588.56,1
song,4,59801,11,3,1,1,559.5,1,582.41,1
songbird,8,204,5.32,6,2,2,706.15,0.97,658.88,0.96
songbook,8,437,6.08,6,2,2,728.71,1,633.52,1
songs,5,33272,10.41,4,1,2,638.66,0.94,599.96,1
song's,6,278,5.63,4,1,2,683.97,0.94,606.18,1
sonic,5,4277,8.36,5,2,2,623.13,0.94,631.58,1
sonnets,7,261,5.56,6,2,2,724.23,0.89,702.38,0.96
sons,4,7093,8.87,4,1,2,703.26,0.97,624.92,1
son's,5,1852,7.52,4,1,2,610.61,0.91,661.68,1
soon,4,90301,11.41,3,1,1,585.28,0.94,654.12,0.96
sooner,6,7392,8.91,4,2,2,655.82,0.94,643.96,1
Sophia,6,965,6.87,5,2,1,771.69,0.97,676.24,0.96
Sophie,6,924,6.83,4,2,1,728.14,0.88,650.93,1
sophomore,9,1020,6.93,7,3,1,684.53,1,687.74,1
soprano,7,913,6.82,7,3,1,699.52,0.94,706.41,1
sore,4,3354,8.12,3,1,1,670.29,0.97,665.25,0.96
sorrow,6,1512,7.32,4,2,1,682.97,0.97,651.57,1
sorrows,7,534,6.28,5,2,2,706.69,0.94,664.69,1
sorry,5,93412,11.44,4,2,1,560.47,1,608.5,1
sort,4,78952,11.28,4,1,1,600.03,0.94,637.35,0.96
sorted,6,3130,8.05,6,2,2,672.47,0.88,687.11,1
sorts,5,12881,9.46,5,1,2,616.52,0.94,637.44,1
sought,6,7068,8.86,3,1,1,696.06,0.94,679.4,0.96
soul,4,32352,10.38,3,1,1,587.66,1,647.46,1
soulful,7,229,5.43,5,2,2,712.19,0.94,662.54,1
souls,5,6033,8.71,4,1,2,631.8,0.88,626.69,0.96
sound,5,122381,11.71,4,1,1,616.24,1,625.48,1
sounded,7,7361,8.9,6,2,2,657.79,1,628.59,1
sounding,8,4695,8.45,6,2,2,692.09,0.97,669.58,1
soundly,7,546,6.3,6,2,2,618.97,1,675.41,1
soundness,9,421,6.04,7,2,2,762.6,0.91,701.3,1
sounds,6,69415,11.15,5,1,2,620.57,0.91,586.15,1
soundtrack,10,6260,8.74,8,2,2,724.24,1,594.04,0.96
soup,4,6046,8.71,3,1,1,539.56,1,610.11,1
sour,4,2340,7.76,3,1,1,649.15,1,643.96,1
sources,7,47903,10.78,6,2,2,652.75,0.97,615.12,0.96
south,5,66282,11.1,3,1,1,635.75,0.94,627.68,1
southeast,9,4909,8.5,6,2,2,668.7,1,648.39,1
southern,8,23994,10.09,5,2,2,703.06,0.91,670.32,0.96
southwest,9,4018,8.3,7,2,2,722.44,1,655.54,1
Soviet,6,11144,9.32,6,2,1,686.24,1,668.59,1
Soviets,7,1978,7.59,7,2,2,782.78,0.94,682.59,1
soybean,7,309,5.73,5,2,2,768.53,0.97,670.86,1
soybeans,8,342,5.83,6,2,3,648.28,1,706.18,1
spa,3,1034,6.94,3,1,1,669.03,0.94,672.32,1
space,5,113076,11.64,4,1,1,533.91,1,688.93,1
spaced,6,1487,7.3,5,1,2,635.76,1,677.19,1
spacer,6,598,6.39,5,2,2,744.06,0.94,698.62,1
spaces,6,6727,8.81,6,2,2,618.39,0.97,634.83,1
spacing,7,1951,7.58,6,2,2,622.21,0.88,666.75,1
spade,5,1057,6.96,4,1,1,657.59,0.97,694.18,1
spades,6,914,6.82,5,1,2,723.1,0.97,666.24,1
spaghetti,9,1161,7.06,7,3,1,772.06,1,695.86,1
Spain,5,8052,8.99,4,1,1,582.06,0.97,651.81,1
span,4,3410,8.13,4,1,1,648.4,0.97,684.19,1
Spanish,7,12577,9.44,6,2,2,554.44,1,690.85,1
spank,5,1471,7.29,5,1,1,565.12,0.97,658.35,1
spanning,8,799,6.68,6,2,2,773.53,0.86,684.5,1
spans,5,972,6.88,5,1,2,674.18,0.97,674.11,1
spare,5,10605,9.27,4,1,1,681.13,0.97,649.67,1
spared,6,972,6.88,5,1,2,667.94,1,678.37,0.96
spark,5,3274,8.09,5,1,1,624.29,1,650.26,1
sparked,7,774,6.65,6,1,2,622.64,0.94,691.58,1
sparkle,7,615,6.42,6,2,1,630.53,0.97,689.07,1
sparkling,9,684,6.53,8,3,2,608.78,1,685.92,0.96
skull,5,7302,8.9,4,1,1,567.74,1,690.37,1
sky,3,19795,9.89,3,1,1,523.03,0.97,634.68,1
skyline,7,583,6.37,6,2,2,633.69,1,706.38,1
slab,4,981,6.89,4,1,1,635.62,0.97,643.88,0.96
slack,5,2948,7.99,4,1,1,577.15,0.97,659.78,1
slacker,7,291,5.67,5,2,2,619.26,0.97,661.71,1
slacks,6,493,6.2,5,1,2,631.27,0.94,641.78,0.96
slam,4,4231,8.35,4,1,1,616.76,0.97,637.29,1
slammed,7,1642,7.4,5,1,2,712.29,1,653.56,1
slamming,8,1543,7.34,6,2,2,649.68,0.94,674.65,0.96
slander,7,2098,7.65,6,2,1,753.9,0.94,675.56,1
slang,5,1953,7.58,4,1,1,627.62,0.97,672.52,1
slant,5,1431,7.27,5,1,1,772.47,0.97,662.46,0.96
slanted,7,930,6.84,7,2,2,740.1,0.97,654.69,0.96
slap,4,3098,8.04,4,1,1,640.88,1,611.14,1
slapped,7,1647,7.41,5,1,2,643.61,1,658.71,1
slapping,8,971,6.88,6,2,2,683.6,1,702.07,1
slaps,5,528,6.27,5,1,2,623.78,0.97,638.29,1
slash,5,3071,8.03,4,1,1,728.69,0.94,637.04,1
slashes,7,702,6.55,6,2,2,638.48,0.94,687.5,0.96
slashing,8,736,6.6,6,2,2,652.71,0.97,706.41,1
slate,5,1017,6.92,4,1,1,679.14,0.9,637.25,1
slated,6,1144,7.04,6,2,2,688.59,0.94,688.79,1
slaughter,9,2785,7.93,5,2,1,664.1,1,646.12,1
slave,5,13149,9.48,4,1,1,608.25,0.94,650.11,1
slavery,7,6413,8.77,7,3,2,714.26,0.89,633.22,1
slaves,6,6684,8.81,5,1,2,610.75,1,651.54,1
slay,4,555,6.32,3,1,1,684.43,0.88,689.92,1
slaying,7,372,5.92,5,2,2,647.6,0.94,668.88,1
sleazy,6,1193,7.08,5,2,2,702.44,1,679.32,0.96
sled,4,2423,7.79,4,1,1,716.94,0.97,669.37,1
sleek,5,526,6.27,4,1,1,637.23,0.94,644.64,1
sleep,5,25606,10.15,4,1,1,553.63,1,638.33,1
sleeper,7,1093,7,5,2,2,629.32,1,684.07,1
sleepers,8,433,6.07,6,2,3,639.45,1,686.73,1
sleeping,8,9165,9.12,6,2,2,626.45,0.94,645.44,1
sleepless,9,490,6.19,7,2,2,720.48,1,673.42,1
sleeps,6,1659,7.41,5,1,2,602.48,1,698.56,1
sleepy,6,1205,7.09,5,2,2,577.18,1,667.12,1
sleeve,6,4251,8.35,4,1,1,624.32,0.91,705.61,1
sleeves,7,3157,8.06,5,1,2,668.63,0.94,692.56,1
sleigh,6,739,6.61,3,1,1,698.03,0.91,689,1
slender,7,1810,7.5,6,2,1,612.43,0.9,694.81,1
slept,5,3156,8.06,5,1,1,698.55,1,641.14,1
sliced,6,1803,7.5,5,1,2,616.5,1,669.79,1
slices,6,1855,7.53,6,2,2,659.26,0.91,670.78,0.96
slick,5,4655,8.45,4,1,1,604.24,0.97,689.69,0.96
slicker,7,258,5.55,5,2,2,748.85,0.97,629.88,1
slid,4,4980,8.51,4,1,1,731.38,0.97,685.31,0.96
slide,5,10004,9.21,4,1,1,600.59,0.94,634.11,1
slides,6,3016,8.01,5,1,2,627.18,1,684.04,1
sliding,7,4432,8.4,6,2,2,625.37,0.91,674.88,1
slight,6,13036,9.48,4,1,1,626.93,0.91,698.68,1
slightly,8,35773,10.48,6,2,2,679.97,0.97,647.21,1
slim,4,3707,8.22,4,1,1,630.1,0.94,660.64,1
slime,5,1921,7.56,4,1,1,709.32,0.94,644.41,1
sling,5,782,6.66,4,1,1,742.71,0.88,682.04,0.96
slip,4,24291,10.1,4,1,1,542.76,1,644.96,0.96
slipped,7,5281,8.57,5,1,2,634.26,1,691.07,1
slippers,8,472,6.16,6,2,3,677.21,0.94,703.57,1
slippery,8,2431,7.8,6,3,3,655.83,0.97,677.46,1
slipping,8,2157,7.68,6,2,2,662.15,0.97,675.75,1
slips,5,1980,7.59,5,1,2,599.35,0.91,676.88,1
slit,4,2568,7.85,4,1,1,725.63,0.97,680.04,1
slits,5,483,6.18,5,1,2,730.19,0.97,679.07,1
slob,4,379,5.94,4,1,1,682.12,1,645.46,1
slogans,7,1346,7.2,7,2,2,752.27,1,659.37,0.96
slope,5,2688,7.9,4,1,1,621.09,0.97,688.85,1
slopes,6,1187,7.08,5,1,2,631.15,1,694.11,1
sloppy,6,2425,7.79,5,2,2,567.15,1,643.93,1
slot,4,11956,9.39,4,1,1,603.03,0.94,602.74,1
sloth,5,748,6.62,4,1,1,674.72,0.85,686.11,1
slots,5,9484,9.16,5,1,2,704.7,1,643.69,1
slouch,6,195,5.27,4,1,1,711.47,0.94,689.36,1
slow,4,43719,10.69,3,1,1,599.76,1,607.19,1
slowed,6,2433,7.8,4,1,2,653.13,0.91,701.21,1
slower,6,13019,9.47,4,1,2,642.47,0.94,666.19,0.96
slowest,7,918,6.82,6,2,2,625.13,0.97,637.57,1
slowing,7,2117,7.66,5,2,2,659.65,0.97,669.31,1
slowly,6,24077,10.09,5,2,2,573.03,0.94,641.32,1
slowness,8,906,6.81,6,2,2,718.56,1,698.78,1
sludge,6,645,6.47,4,1,1,755.69,0.94,674.32,1
slug,4,4597,8.43,4,1,1,633.47,0.97,685.07,1
sluggish,8,856,6.75,6,2,2,639.44,1,667.04,1
slugs,5,721,6.58,5,1,2,646.8,1,607.11,1
slum,4,467,6.15,4,1,1,719.53,0.91,660.29,1
slumber,7,344,5.84,6,2,1,655.68,0.91,657.29,1
slump,5,492,6.2,5,1,1,736.32,0.94,630.18,1
slumped,7,392,5.97,6,1,2,722.13,0.94,670.12,0.96
slums,5,335,5.81,5,1,2,712.13,0.94,662.75,1
slush,5,351,5.86,4,1,1,657.13,0.91,663.71,1
sly,3,1115,7.02,3,1,1,665.81,0.91,629.81,1
smack,5,2232,7.71,4,1,1,581.67,0.97,683.78,1
smacked,7,625,6.44,5,1,2,647.03,0.94,691.15,1
smaller,7,28021,10.24,5,2,2,609.91,1,665.61,1
smallest,8,3473,8.15,7,2,2,592.26,1,659.48,1
smart,5,17782,9.79,5,1,1,590.21,0.97,652.33,1
smarter,7,2833,7.95,6,2,2,669.03,0.97,667.9,1
smash,5,2573,7.85,4,1,1,572.47,1,657.9,1
smashing,8,1559,7.35,6,2,2,639.88,1,679.62,1
smear,5,1826,7.51,4,1,1,684.21,0.97,685.21,1
smell,5,9693,9.18,4,1,1,623.97,0.97,675.56,1
smelling,8,887,6.79,6,2,2,667.79,0.97,696.81,0.96
smelt,5,198,5.29,5,1,2,724.59,0.88,659.15,1
smile,5,12276,9.42,4,1,1,528.24,1,630.48,1
smiled,6,8379,9.03,5,1,2,651.73,0.97,667.58,1
smiles,6,2487,7.82,5,1,2,606.88,0.97,675.44,1
smiling,7,4457,8.4,6,2,2,672.06,0.97,638.23,0.96
smirk,5,632,6.45,4,1,1,732.41,0.94,692.25,1
smirked,7,240,5.48,5,1,2,773.71,0.94,698.92,1
smith,5,45658,10.73,4,1,1,654.28,0.94,704.12,1
Smith's,7,1189,7.08,5,1,2,667.57,1,664.13,1
smog,4,727,6.59,4,1,1,715.6,0.94,689.89,0.96
smoke,5,16648,9.72,4,1,1,609,1,611.96,1
smoker,6,947,6.85,5,2,2,659.06,1,646.41,1
smokers,7,1992,7.6,6,2,3,569.56,0.97,680.92,1
smokes,6,917,6.82,5,1,2,663.64,1,659.88,1
smoking,7,9023,9.11,6,2,2,607.32,1,640.17,1
smooth,6,13504,9.51,4,1,1,567.31,0.97,652.08,1
smudge,6,335,5.81,4,1,1,671.24,0.88,694.77,1
smuggle,7,335,5.81,5,2,1,669.61,0.97,696.07,1
smuggling,9,1348,7.21,7,3,2,764.21,0.97,699.4,0.96
snack,5,1669,7.42,4,1,1,675.93,0.91,663.93,0.96
snacks,6,967,6.87,5,1,2,574.81,0.97,653.37,1
snag,4,1431,7.27,4,1,1,682.69,0.94,696.89,1
snags,5,203,5.31,5,1,2,740.77,0.91,655.41,1
snake,5,5217,8.56,4,1,1,672.03,0.97,692.13,1
snakes,6,2618,7.87,5,1,2,624.79,1,654.7,1
snap,4,8365,9.03,4,1,1,598.12,1,637.04,1
snapper,7,377,5.93,5,2,2,725.26,1,642.69,1
snappy,6,886,6.79,5,2,2,603.91,1,670.42,1
snapshot,8,1467,7.29,7,2,2,648.71,1,653.54,1
snarl,5,344,5.84,5,1,1,654.23,0.94,669.44,1
snarled,7,306,5.72,6,1,2,729.75,0.97,684.92,0.96
snatch,6,706,6.56,4,1,1,564.53,1,671.3,1
sneaked,7,221,5.4,5,1,2,636.42,0.91,681.14,1
sneaker,7,221,5.4,5,2,2,657.84,0.94,644.33,1
sneakers,8,867,6.77,6,2,3,600.84,0.94,692.26,1
sneering,8,219,5.39,6,2,2,713.45,0.94,701.24,0.96
sneeze,6,540,6.29,4,1,1,587,1,689.71,1
sneezing,8,260,5.56,6,2,2,703.97,0.97,693.24,1
sniff,5,1868,7.53,4,1,1,711.31,0.94,694.63,1
snipe,5,291,5.67,4,1,1,684.71,0.97,670.46,1
snob,4,453,6.12,4,1,1,687.36,0.97,660.42,1
shuffle,7,1959,7.58,4,2,1,632.21,1,646.61,1
shuffled,8,778,6.66,5,2,2,701.52,1,666.68,1
shuffling,9,690,6.54,6,3,2,786.58,0.97,674.19,1
shut,4,19700,9.89,3,1,1,649.62,0.94,638.46,1
shutdown,8,4263,8.36,6,2,2,638.97,1,670.38,1
shutdowns,9,187,5.23,7,2,3,694.69,0.97,665.78,1
shuts,5,956,6.86,4,1,2,735.72,0.85,673.7,0.96
shutter,7,1732,7.46,4,2,2,699.15,1,619.38,1
shuttle,7,8379,9.03,4,2,1,707.53,0.94,638.93,1
Siberia,7,980,6.89,7,3,1,690.16,0.94,701.67,1
sibling,7,789,6.67,6,2,2,670.24,1,675.89,1
sick,4,22109,10,3,1,1,565.16,0.97,633.89,0.96
sickened,8,266,5.58,6,2,3,688.42,0.91,689.68,1
sicker,6,193,5.26,4,2,2,657.83,0.85,669.04,0.96
sickle,6,393,5.97,4,2,1,786.43,0.9,672.93,1
sickly,6,351,5.86,5,2,2,630.76,0.97,615.33,0.96
sickness,8,1765,7.48,6,2,2,596.78,1,646.07,1
