"","Word","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"11","SUNSET","6","3475","8.15","6","2","2","612.03","0.97","620.61","1","12082","7.46","1.5","39","4.68","2.73","44","5.32","2.98","25","7.6","1.24","15","7.38","1.66","24","4","2.03","17","5.11","3.04","27","3.88","2.53","8","6","3","17","7.09","1.7","23","8.13","0.83","15","5.14","2.67","21","4.26","2.77","23","4.36","2.98","14","6.55","2.62","11","7.05","1.67","20","7.89","1.2","19","4.6","2.94","25","4.79","2.49","19","5.06","3.23","18","6","2.31","7","POS"
"12","AMUSE","5","644","6.47","5","2","1","749.36","0.97","653.33","0.96","385","7.1","1.37","20","5.17","1.99","23","6.8","1.64","20","6.89","1.45","9","7.27","1.35","11","5.45","1.92","11","4.92","2.11","12","6.43","1.51","7","7","1.73","13","7","1.24","14","7.33","1.75","6","4.89","2.26","9","5.36","1.86","14","7.14","1.21","7","6.62","1.85","13","6.9","1.45","10","7.3","1.34","10","5.08","1.66","13","5.3","2.45","10","7.18","1.17","11","6.33","2.06","9","POS"
"13","FLAWLESS","8","1035","6.94","6","2","2","603.42","0.97","665.07","1","4726","7.05","1.58","19","4.05","1.99","22","6.55","2.34","22","7.33","1.5","9","6.8","1.69","10","4.12","1.96","8","4","2.08","14","6.36","2.54","11","6.73","2.24","11","6.71","1.5","7","7.25","1.66","12","5.1","1.66","10","3.17","1.85","12","6.15","2.51","13","7.11","2.09","9","7.2","1.4","10","6.89","1.83","9","3.75","2.38","8","4.21","1.81","14","6.86","2.18","14","6","2.67","8","POS"
"14","CAPABLE","7","21671","9.98","6","3","1","667","1","677.23","0.96","1753","7.05","1.58","19","4","2.38","38","7.07","1.67","54","8.33","1.15","3","6.87","1.6","15","5","2.45","9","3.69","2.32","29","7.12","1.66","32","7.1","1.7","21","6.83","1.83","6","7.25","1.54","12","5","2.63","14","3.42","2.06","24","6.81","1.76","31","7.55","1.44","22","7.33","1.23","12","6.57","2.07","7","3.81","2.56","21","4.24","2.19","17","7.27","1.8","26","6.89","1.55","28","POS"
"15","MUSIC","5","134404","11.81","6","2","1","554.41","0.97","599.48","1","8017","7.67","1.82","40","5.57","3.09","23","6.5","2.25","48","7.87","1.25","15","7.56","2.1","25","4.91","3.33","11","6.17","2.86","12","6.67","2.63","18","6.4","2.03","30","7.68","2.29","19","7.67","1.32","21","6.91","2.74","11","4.33","2.96","12","6.3","2.34","33","6.93","2.05","15","7.33","2.16","24","8.19","0.98","16","6.64","2.66","11","4.58","3.23","12","6.46","2.16","26","6.55","2.4","22","POS"
"16","FRUITFUL","8","767","6.64","6","2","2","666.94","0.97","690.28","1","4987","7.11","1.49","19","4.14","2.42","22","6.91","1.9","22","7.09","1.58","11","6.86","1.35","7","4.12","2.59","8","4.14","2.41","14","6.71","2.21","7","7","1.81","15","7","1.6","8","7.18","1.47","11","3.44","2.4","9","4.62","2.4","13","6.36","2.01","11","7.45","1.69","11","7.33","1.72","12","6.71","0.95","7","4.55","3.05","11","3.73","1.62","11","7.08","2.02","12","6.7","1.83","10","POS"
"17","TREASURED","9","287","5.66","6","2","2","699.84","0.97","650.32","1","12783","7.14","1.53","21","5.16","2.71","19","7.05","1.65","19","6.67","1.63","6","7.33","1.5","15","6","2.45","8","4.55","2.84","11","7.1","1.6","10","7","1.8","9","7.33","1.37","6","7.07","1.62","15","5.9","2.6","10","4.33","2.74","9","7.08","1.73","12","7","1.63","7","6.86","1.68","7","7.29","1.49","14","5.46","2.99","13","4.5","2.07","6","6.6","1.58","10","7.56","1.67","9","POS"
"18","COMIC","5","17078","9.75","5","2","1","594.03","1","593.52","1","2365","7.5","1.47","18","4.3","2.45","20","5.6","1.71","25","7.2","1.48","5","7.62","1.5","13","4.45","2.66","11","4.11","2.32","9","5.19","1.76","16","6.33","1.41","9","7.86","1.68","7","7.27","1.35","11","4.33","2.5","9","4.27","2.53","11","5.65","1.79","20","5.4","1.52","5","7.78","1.48","9","7.22","1.48","9","4.09","2.47","11","4.56","2.55","9","5.37","1.77","19","6.33","1.37","6","POS"
"19","COMEDIAN","8","1124","7.02","8","3","2","662.53","0.97","701.42","1","2357","7.6","1.19","20","5.78","2.04","23","6.48","1.91","21","7.33","0.87","9","7.82","1.4","11","6.09","1.7","11","5.5","2.35","12","6","1.85","8","6.77","1.96","13","7.57","1.22","14","7.67","1.21","6","6.11","2.03","9","5.57","2.1","14","6.5","1.51","8","6.46","2.18","13","7.8","1.03","10","7.4","1.35","10","5.54","2.07","13","6.1","2.08","10","6.75","1.66","12","6.11","2.26","9","POS"
"20","FOOD","4","59724","11","3","1","1","616.88","1","571.19","1","4809","7.52","1.38","42","4.69","2.63","42","6.08","2.15","48","7.86","1.17","14","7.36","1.47","28","4.94","2.49","16","4.54","2.75","26","6.12","2.64","17","6.17","1.82","30","7.33","1.14","18","7.67","1.55","24","4.79","2.68","19","4.61","2.64","23","6.06","2.37","32","6.33","1.54","15","7.46","1.53","26","7.62","1.15","16","4.44","3","25","5.06","1.98","17","5.89","2.42","28","6.35","1.73","20","POS"
