"Word","Length","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy"
"reign","5","7.95","3","1","1","688.12","0.97","667.92","1.00"
"reject","6","8.92","6","2","2","625.90","0.94","648.70","1.00"
"rejected","8","9.09","8","3","3","705.29","0.97","611.22","1.00"
"rejecting","9","7.40","8","3","3","642.19","0.97","626.00","1.00"
"rejection","9","8.13","7","3","3","619.16","0.94","635.44","1.00"
"rejoice","7","6.78","5","2","1","677.67","0.97","675.17","1.00"
"relate","6","8.92","5","2","1","715.76","0.97","638.46","0.97"
"related","7","11.25","7","3","2","618.83","0.94","622.15","1.00"
"relates","7","8.16","6","2","2","706.33","1.00","641.36","1.00"
"relations","9","9.68","7","3","3","712.34","1.00","649.14","1.00"
"relative","8","9.81","7","3","2","663.85","1.00","660.81","1.00"
"relatives","9","8.79","8","3","3","714.85","0.94","640.04","1.00"
"relax","5","8.68","6","2","1","617.03","0.97","597.15","1.00"
"relaxed","7","8.39","7","2","2","567.94","0.97","580.89","1.00"
"relaxing","8","7.46","8","3","2","603.87","0.97","558.19","1.00"
"release","7","11.25","5","2","1","668.97","1.00","591.81","1.00"
"released","8","10.72","6","2","2","715.36","1.00","599.97","1.00"
"releases","8","9.69","7","3","2","758.47","1.00","583.32","1.00"
"releasing","9","8.50","7","3","2","747.71","1.00","618.57","1.00"
"reliable","8","9.74","7","3","2","754.91","1.00","609.68","1.00"
"reliance","8","7.30","7","2","2","718.63","1.00","641.37","1.00"
"relief","6","9.11","5","2","1","600.66","0.97","574.43","1.00"
"religion","8","10.62","7","3","2","663.76","0.97","636.54","1.00"
"religious","9","10.54","7","3","2","717.03","0.97","595.19","0.96"
"reload","6","7.73","5","2","2","683.06","0.94","655.18","0.97"
"relocate","8","7.72","7","3","2","740.94","0.97","699.52","1.00"
"relying","7","7.83","6","3","2","622.15","1.00","613.61","1.00"
"remain","6","10.11","5","2","1","624.19","0.97","631.27","1.00"
"remained","8","8.95","6","2","2","720.25","0.97","706.52","1.00"
"remaining","9","9.52","7","3","2","654.55","1.00","604.96","1.00"
"remains","7","9.79","6","2","2","635.88","1.00","632.19","1.00"
"remark","6","8.58","6","2","1","582.84","1.00","588.68","1.00"
"remarked","8","7.39","7","2","2","605.67","0.97","674.78","0.96"
"remarks","7","8.93","7","2","2","647.67","0.97","616.14","1.00"
"remedies","8","7.37","7","3","2","674.90","0.91","693.85","1.00"
"remedy","6","8.10","6","3","1","732.81","1.00","665.07","1.00"
"remember","8","11.87","7","3","1","652.72","1.00","599.50","1.00"
"remembered","10","8.81","8","3","2","686.88","1.00","618.46","1.00"
"remind","6","8.94","6","2","2","693.39","0.94","617.00","1.00"
"reminder","8","8.17","7","3","3","698.97","0.97","585.29","1.00"
"reminds","7","8.85","7","2","3","654.64","0.97","611.52","1.00"
"remote","6","10.21","5","2","1","695.12","1.00","579.96","1.00"
"remotely","8","8.36","7","3","2","768.31","1.00","663.56","1.00"
"removable","9","7.93","8","4","3","682.73","0.94","677.75","1.00"
"removal","7","8.64","6","3","3","637.13","0.97","585.22","1.00"
"remove","6","10.69","5","2","2","628.03","0.97","613.38","1.00"
"removed","7","10.45","6","2","3","650.74","1.00","622.85","1.00"
"removes","7","7.92","6","2","3","698.33","0.97","607.96","1.00"
"renewed","7","7.76","5","2","3","667.12","1.00","665.46","1.00"
"render","6","8.34","5","2","1","683.03","0.94","660.79","1.00"
"rent","4","9.28","4","1","1","607.91","0.97","630.07","1.00"
"rental","6","8.60","5","2","2","636.88","0.97","579.22","1.00"
"rentals","7","7.28","6","2","3","630.00","1.00","639.93","1.00"
"rented","6","7.96","6","2","2","665.56","1.00","622.32","1.00"
"renting","7","7.46","6","2","2","644.31","0.94","640.17","1.00"
"rents","5","6.69","5","1","2","627.94","0.94","602.12","1.00"
"repair","6","9.51","5","2","2","699.13","0.94","636.26","1.00"
"repaired","8","7.68","6","2","3","670.83","1.00","633.34","1.00"
"repairing","9","7.03","7","3","3","730.28","0.97","682.11","1.00"
"repairs","7","7.97","6","2","3","648.45","1.00","677.71","1.00"
"rebel","5","9.00","4","2","1","644.77","0.97","575.04","1.00"
"repay","5","6.83","4","2","2","695.09","0.94","625.11","1.00"
"repeat","6","10.00","5","2","1","593.30","1.00","602.83","1.00"
"repeated","8","9.23","7","3","2","663.79","0.97","676.58","1.00"
"Rebecca","7","8.18","6","3","1","692.97","1.00","627.72","1.00"
"rebellion","9","7.86","8","3","2","692.50","0.94","613.19","1.00"
"rebirth","7","7.88","5","2","2","659.32","1.00","593.71","1.00"
"reborn","6","6.74","6","2","2","657.35","0.94","586.62","1.00"
"rebound","7","7.12","6","2","2","642.61","1.00","597.56","0.96"
"rebuild","7","8.36","6","2","2","648.91","0.97","621.07","1.00"
"rebuilding","10","7.62","8","3","3","750.44","1.00","686.39","1.00"
"recall","6","10.56","5","2","2","695.19","0.97","599.39","1.00"
"recalling","9","6.69","7","3","3","724.97","1.00","625.89","1.00"
"recalls","7","7.01","6","2","3","624.94","0.97","571.15","1.00"
"receipt","7","8.74","5","2","1","701.29","1.00","674.64","1.00"
"receive","7","11.12","5","2","2","667.76","0.97","613.62","1.00"
"received","8","11.01","6","2","3","623.76","0.97","633.11","1.00"
"receiver","8","8.98","6","3","3","742.73","1.00","634.12","1.00"
"receives","8","8.72","6","2","3","664.13","0.97","694.48","1.00"
"receiving","9","9.70","7","3","3","666.84","0.97","639.04","1.00"
"recently","8","11.21","7","3","2","669.88","1.00","601.43","1.00"
"reception","9","8.67","7","3","3","685.91","1.00","692.22","1.00"
"recession","9","7.71","6","3","3","737.03","1.00","666.67","1.00"
"recipes","7","8.85","7","3","2","673.29","1.00","633.23","1.00"
"reckon","6","7.43","5","2","1","696.59","0.97","613.89","1.00"
"recognize","9","9.95","8","3","2","634.39","1.00","586.79","0.97"
"recoil","6","7.03","5","2","2","722.53","1.00","683.57","1.00"
"recommend","9","10.53","8","3","1","754.24","1.00","636.81","1.00"
"record","6","11.03","5","2","1","575.44","1.00","651.67","1.00"
"recorded","8","9.72","8","3","2","675.24","1.00","689.50","1.00"
"recover","7","8.80","6","3","1","724.47","0.97","636.89","1.00"
"recovered","9","8.36","7","3","3","720.39","0.97","668.25","1.00"
"recovering","10","7.83","8","4","2","665.18","1.00","615.46","1.00"
"recovery","8","9.21","7","4","2","699.52","1.00","652.71","1.00"
"recruiting","10","9.35","8","3","2","716.90","0.94","698.04","1.00"
"recruits","8","7.33","7","2","2","656.91","0.94","655.42","1.00"
"recycle","7","7.00","6","3","2","696.30","0.97","628.12","1.00"
"redeeming","9","6.72","7","3","2","722.69","0.97","672.96","1.00"
"redemption","10","7.87","8","3","2","759.09","1.00","631.65","1.00"
"redneck","7","6.86","6","2","2","722.15","1.00","625.70","0.96"
"reds","4","7.45","4","1","2","703.35","0.97","583.52","1.00"
"reduced","7","9.63","6","2","3","696.00","0.94","606.82","1.00"
"reduces","7","8.37","7","3","3","637.21","0.97","628.65","1.00"
"reducing","8","8.86","7","3","3","712.19","1.00","635.63","1.00"
"reduction","9","9.03","7","3","3","723.72","0.97","612.46","1.00"
"reel","4","7.92","3","1","1","627.06","0.91","603.96","1.00"
"refer","5","10.19","4","2","2","707.23","0.94","618.85","0.96"
"reference","9","11.00","7","3","3","650.15","1.00","583.25","1.00"
"referral","8","7.88","6","3","3","749.41","1.00","674.89","1.00"
"referred","8","9.57","5","2","3","610.67","0.97","658.32","1.00"
"refined","7","7.48","6","2","2","661.31","0.97","645.43","1.00"
"reflect","7","9.63","7","2","2","620.21","1.00","613.11","1.00"
"reflection","10","8.41","8","3","3","709.79","0.97","664.46","1.00"
"reflector","9","6.78","8","3","3","742.75","0.94","638.93","1.00"
"reflects","8","8.37","8","2","3","747.16","0.94","658.07","1.00"
"reflex","6","7.16","7","2","2","669.82","0.97","615.48","1.00"
"reformed","8","7.02","7","2","3","657.00","1.00","635.08","1.00"
"reforms","7","7.96","7","2","3","679.67","0.94","685.42","1.00"
"refrain","7","8.10","6","2","1","640.60","1.00","647.44","1.00"
"refresh","7","8.57","6","2","2","696.77","0.97","594.86","1.00"
"refusal","7","7.88","7","3","3","735.10","0.94","696.61","1.00"
"refreshing","10","7.52","8","3","3","665.79","0.97","606.39","1.00"
"refugee","7","7.69","7","3","2","668.88","1.00","654.46","1.00"
"refund","6","8.49","6","2","2","674.58","1.00","612.14","1.00"
"refunds","7","6.95","7","2","3","661.97","0.97","594.42","1.00"
"refused","7","9.42","7","2","3","667.50","1.00","668.93","1.00"
"refuses","7","8.59","8","3","3","660.16","1.00","639.40","1.00"
"refusing","8","8.17","8","3","3","645.03","0.94","645.88","1.00"
"regain","6","7.54","5","2","2","703.75","0.94","690.69","1.00"
"radar","5","8.93","5","2","1","725.16","0.94","612.33","0.96"
"radiation","9","8.95","7","4","3","713.91","1.00","683.21","1.00"
"radiator","8","6.96","7","4","3","609.12","0.97","699.67","1.00"
"radical","7","9.00","7","3","2","738.07","0.94","642.61","1.00"
"radically","9","7.58","7","3","3","697.00","0.94","596.35","1.00"
"radicals","8","7.06","8","3","3","749.03","0.91","658.46","1.00"
"radio","5","11.18","5","3","1","599.20","0.97","614.89","1.00"
"radius","6","8.70","6","2","2","749.94","0.97","617.85","1.00"
"raft","4","6.73","4","1","1","660.68","0.91","575.54","1.00"
"rage","4","8.75","3","1","1","584.34","1.00","587.50","1.00"
"rags","4","7.28","4","1","2","601.74","1.00","563.19","1.00"
"raid","4","8.82","3","1","1","682.44","0.94","579.46","1.00"
"raided","6","6.89","5","2","2","716.72","0.94","664.93","1.00"
"raiders","7","8.74","5","2","3","608.55","0.97","602.93","1.00"
"raids","5","7.20","4","1","2","715.75","0.94","596.33","1.00"
"rail","4","8.90","3","1","1","622.00","0.97","581.32","1.00"
"railroad","8","8.47","6","2","2","594.19","0.97","603.56","1.00"
"railroads","9","7.52","7","2","3","585.79","0.97","643.85","1.00"
"rails","5","7.54","4","1","2","582.71","1.00","577.82","1.00"
"railway","7","7.99","5","2","2","677.06","0.91","634.18","1.00"
"rain","4","9.79","3","1","1","551.84","1.00","584.00","1.00"
"rainbow","7","8.82","5","2","2","686.82","1.00","586.54","1.00"
"raining","7","7.06","5","2","2","598.53","0.97","633.31","1.00"
"rainy","5","7.26","4","2","2","615.25","0.94","595.32","1.00"
"raise","5","10.12","3","1","1","672.18","1.00","631.00","1.00"
"raised","6","9.93","4","1","2","631.58","0.97","587.48","1.00"
"raises","6","8.66","5","2","2","600.42","0.94","575.52","1.00"
"raising","7","9.07","5","2","2","626.62","1.00","622.44","1.00"
"rally","5","8.60","4","2","1","643.06","0.91","577.04","1.00"
"Ralph","5","9.06","4","1","1","599.68","0.97","564.14","1.00"
"rambling","8","7.40","7","3","2","712.42","0.91","631.32","1.00"
"ramp","4","7.93","4","1","1","714.78","1.00","589.64","1.00"
"rampage","7","7.15","6","2","2","748.15","1.00","643.39","1.00"
"ran","3","10.34","3","1","1","590.91","0.94","550.15","1.00"
"ranch","5","8.20","4","1","1","578.55","0.97","603.75","1.00"
"ranchers","8","6.68","6","2","3","743.78","0.94","604.27","1.00"
"random","6","10.01","6","2","1","605.87","0.94","588.79","1.00"
"Randy","5","9.35","5","2","1","694.25","0.91","631.93","1.00"
"range","5","10.97","4","1","1","638.35","0.94","596.25","1.00"
"ranged","6","7.08","5","1","2","705.21","1.00","627.67","1.00"
"ranger","6","8.22","5","2","2","621.53","0.97","594.97","1.00"
"rangers","7","8.53","6","2","3","614.91","1.00","608.08","1.00"
"rank","4","9.16","4","1","1","623.24","1.00","609.22","1.00"
"ranked","6","8.02","5","1","2","649.18","1.00","595.11","1.00"
"ranking","7","8.20","6","2","2","635.42","0.97","573.31","1.00"
"ranks","5","8.41","5","1","2","622.71","1.00","583.15","1.00"
"ransom","6","6.72","5","2","1","653.97","1.00","606.15","1.00"
"rape","4","9.45","3","1","1","619.60","1.00","550.23","1.00"
"raped","5","8.31","4","1","2","679.52","1.00","604.11","0.97"
"rapes","5","6.91","4","1","2","717.69","0.97","612.89","1.00"
"rapid","5","9.12","5","2","1","589.09","1.00","613.15","1.00"
"rapist","6","7.27","6","2","2","726.85","1.00","658.55","1.00"
"rare","4","10.50","3","1","1","566.97","0.97","570.15","1.00"
"rarely","6","9.53","5","2","2","641.03","0.97","565.39","1.00"
"rated","5","9.12","5","2","2","649.44","1.00","594.52","1.00"
"rates","5","10.53","4","1","2","647.38","0.94","603.61","1.00"
"rather","6","11.89","4","2","1","679.10","0.91","610.97","1.00"
"rating","6","9.40","5","2","2","632.48","0.97","564.11","1.00"
"ratings","7","9.05","6","2","3","671.52","0.94","582.50","1.00"
"rational","8","9.32","5","2","1","621.97","0.97","648.14","1.00"
"rats","4","8.92","4","1","2","608.03","1.00","556.21","1.00"
"rattle","6","7.12","4","2","1","660.15","1.00","569.96","1.00"
"raven","5","8.13","4","2","1","625.65","1.00","624.16","1.00"
"Raymond","7","8.63","6","2","2","664.56","0.97","595.32","1.00"
"rays","4","7.40","3","1","2","698.80","1.00","604.56","1.00"
"razor","5","8.09","4","2","2","708.59","0.97","561.48","1.00"
"reach","5","10.44","3","1","1","561.06","0.97","596.96","1.00"
"reached","7","10.22","4","1","2","574.48","1.00","606.96","1.00"
"reaches","7","8.75","5","2","2","703.21","0.97","611.78","1.00"
"reaching","8","8.90","5","2","2","595.74","1.00","626.84","1.00"
"react","5","8.69","5","2","2","663.30","0.94","575.76","1.00"
"reacted","7","7.32","7","3","3","684.64","0.97","596.04","1.00"
"reaction","8","9.72","6","3","3","610.30","0.97","608.42","1.00"
"reactive","8","7.32","7","3","3","691.22","0.94","611.78","1.00"
"reacts","6","6.91","6","2","3","700.55","0.97","597.48","1.00"
"read","4","12.58","3","1","1","547.58","1.00","576.86","1.00"
"readable","8","8.45","6","3","2","750.41","0.94","697.12","1.00"
"reader","6","10.05","4","2","2","587.97","1.00","588.22","1.00"
"readers","7","10.36","5","2","3","586.76","1.00","589.36","1.00"
"reader's","8","7.17","5","2","3","704.00","1.00","624.37","1.00"
"readiness","9","7.00","7","3","2","717.44","1.00","695.37","1.00"
"readings","8","8.30","6","2","3","648.74","1.00","638.18","0.97"
"reads","5","9.51","4","1","2","614.72","0.97","611.79","1.00"
"ready","5","10.69","4","2","1","582.18","1.00","557.15","1.00"
"real","4","12.19","4","1","1","630.88","0.97","586.30","1.00"
"realism","7","7.69","7","3","2","666.86","1.00","617.50","1.00"
"reality","7","10.67","7","4","2","655.82","1.00","619.37","0.96"
"realize","7","10.46","6","2","1","658.79","0.97","649.15","1.00"
"realized","8","9.76","7","2","2","655.33","0.97","617.26","1.00"
"realizes","8","7.82","8","3","2","687.41","0.97","631.54","1.00"
"realizing","9","8.16","8","3","2","671.22","0.97","636.59","1.00"
"rear","4","9.67","3","1","1","647.85","1.00","614.93","1.00"
"reason","6","11.80","4","2","1","579.24","0.97","592.63","1.00"
"reasonable","10","10.51","7","4","2","721.31","0.97","659.39","1.00"
"reasonably","10","9.34","8","4","3","734.24","1.00","696.44","1.00"
"reasoned","8","7.36","5","2","2","674.88","1.00","604.93","1.00"
"reasoning","9","9.22","6","3","2","649.09","1.00","624.93","1.00"
"reasons","7","10.78","5","2","2","554.37","1.00","552.89","1.00"
"pull","4","10.25","3","1","1","646.45","1.00","570.96","0.96"
"pulled","6","10.11","4","1","2","650.19","0.97","604.63","1.00"
"pulling","7","9.32","5","2","2","619.38","0.97","589.67","1.00"
"pulp","4","8.37","4","1","1","587.24","1.00","556.75","1.00"
"pulse","5","8.61","4","1","1","579.64","1.00","594.30","0.96"
"pump","4","9.27","4","1","1","610.36","0.97","580.56","1.00"
"pumped","6","7.74","5","1","2","659.09","0.94","621.11","0.96"
"pumping","7","8.08","6","2","2","690.91","0.97","650.69","1.00"
"pumpkin","7","6.84","7","2","1","628.55","1.00","573.31","1.00"
"pumps","5","8.08","5","1","2","697.38","0.97","643.56","0.96"
"pun","3","8.30","3","1","1","637.61","0.91","656.12","1.00"
"punch","5","9.16","4","1","1","655.97","0.94","580.96","1.00"
"punched","7","7.80","5","1","2","639.78","1.00","608.41","1.00"
"punches","7","7.62","6","2","2","684.81","0.97","622.59","1.00"
"punching","8","7.14","6","2","2","666.94","1.00","611.46","1.00"
"punish","6","8.11","5","2","2","611.72","0.94","602.92","1.00"
"punished","8","8.25","6","2","3","659.65","1.00","650.08","1.00"
"punk","4","8.80","4","1","1","605.41","1.00","558.61","1.00"
"punks","5","6.70","5","1","2","636.67","0.97","565.19","1.00"
"pupil","5","6.94","5","2","1","626.97","0.97","664.04","1.00"
"pupils","6","6.75","6","2","2","632.71","1.00","641.18","1.00"
"puppet","6","8.30","5","2","1","611.24","0.97","608.41","1.00"
"puppets","7","7.14","6","2","2","621.69","0.91","622.41","1.00"
"puppies","7","8.19","5","2","3","618.64","1.00","608.57","1.00"
"puppy","5","9.05","4","2","2","600.48","0.97","636.50","1.00"
"pups","4","6.88","4","1","2","727.42","0.94","594.54","1.00"
"purchase","8","10.45","5","2","1","658.24","0.97","614.00","1.00"
"purchased","9","9.94","6","2","2","701.16","0.94","620.70","1.00"
"purchases","9","8.45","7","3","2","690.97","1.00","595.04","1.00"
"purchasing","10","9.20","7","3","2","688.47","0.97","691.68","1.00"
"purely","6","9.13","6","2","2","726.85","1.00","624.75","1.00"
"purge","5","7.97","3","1","1","625.85","1.00","604.89","1.00"
"purified","8","7.47","8","3","3","695.31","0.94","702.59","1.00"
"purity","6","7.74","7","3","2","677.84","0.97","670.86","1.00"
"purple","6","9.15","4","2","1","584.30","1.00","573.15","1.00"
"purpose","7","10.76","5","2","1","678.94","1.00","612.82","1.00"
"purposely","9","7.10","7","3","2","769.76","1.00","691.27","1.00"
"purse","5","7.53","3","1","1","668.48","0.94","677.42","1.00"
"pushed","6","9.35","4","1","2","619.61","1.00","658.32","1.00"
"pushes","6","7.64","5","2","2","595.31","0.97","593.20","1.00"
"pushing","7","9.17","5","2","2","639.88","1.00","589.46","1.00"
"puzzle","6","8.57","4","2","1","691.35","0.94","573.10","1.00"
"puzzled","7","7.69","5","2","2","632.44","1.00","619.36","1.00"
"puzzles","7","7.98","5","2","2","627.24","1.00","621.11","1.00"
"pyramids","8","7.80","8","3","2","734.48","1.00","695.15","1.00"
"quaint","6","6.77","5","1","1","748.66","0.91","657.57","1.00"
"quake","5","8.29","4","1","1","669.48","0.97","592.33","1.00"
"Quaker","6","7.00","5","2","2","629.75","0.97","623.62","1.00"
"qualified","9","9.78","8","3","2","649.00","0.94","642.38","1.00"
"qualify","7","9.11","7","3","1","622.58","0.97","602.04","0.97"
"qualities","9","8.54","8","3","3","763.26","1.00","702.93","1.00"
"quality","7","11.28","7","3","2","695.82","1.00","639.00","1.00"
"quart","5","7.00","5","1","1","624.13","0.97","669.39","1.00"
"quarter","7","9.37","6","2","2","618.53","0.97","633.74","1.00"
"Quebec","6","9.39","6","2","1","725.75","0.97","674.97","1.00"
"queen","5","9.77","4","1","1","565.06","0.97","592.62","1.00"
"queens","6","7.95","5","1","2","669.45","1.00","609.12","1.00"
"question","8","12.12","7","2","2","597.44","1.00","602.71","1.00"
"questioned","10","8.28","8","2","3","696.18","1.00","588.71","1.00"
"quick","5","10.54","4","1","1","547.84","0.97","584.71","1.00"
"quicken","7","8.06","6","2","2","732.76","1.00","638.14","1.00"
"quicker","7","8.38","5","2","2","692.88","0.97","644.24","1.00"
"quickest","8","7.94","7","2","2","768.03","0.91","638.74","1.00"
"quickly","7","10.65","6","2","2","646.12","1.00","600.75","1.00"
"quiet","5","9.48","5","1","1","645.28","0.97","592.74","1.00"
"quietly","7","8.51","7","2","2","600.97","1.00","641.67","1.00"
"quilt","5","7.44","5","1","1","757.45","1.00","643.15","1.00"
"quit","4","9.73","4","1","1","612.18","0.97","634.52","1.00"
"quits","5","7.05","5","1","2","632.29","0.97","687.79","1.00"
"quitting","8","7.01","6","2","2","694.42","0.91","631.78","0.96"
"quiz","4","7.98","4","1","1","658.16","0.97","613.86","1.00"
"quota","5","8.00","5","2","1","718.78","0.94","625.96","1.00"
"quotation","9","7.84","7","3","2","768.73","0.94","645.27","1.00"
"quote","5","10.44","4","1","1","598.24","1.00","621.88","1.00"
"quoted","6","9.72","6","2","2","678.12","0.94","643.96","1.00"
"quotes","6","9.71","5","1","2","701.26","0.94","582.96","0.96"
"rabbit","6","8.66","5","2","1","589.67","1.00","556.11","1.00"
"rabbits","7","7.60","6","2","2","632.12","1.00","632.32","1.00"
"race","4","10.75","3","1","1","564.18","1.00","554.18","1.00"
"racer","5","7.93","4","2","2","697.12","1.00","611.44","1.00"
"racers","6","7.16","5","2","3","638.97","0.97","605.48","0.96"
"races","5","9.37","5","2","2","634.31","0.97","599.31","1.00"
"Rachel","6","8.42","5","2","1","638.06","1.00","593.07","1.00"
"racing","6","9.62","5","2","2","614.06","0.97","551.18","1.00"
"racism","6","9.05","6","3","2","661.81","0.97","652.83","1.00"
"racist","6","9.31","6","2","2","617.00","0.97","584.19","1.00"
"rack","4","9.36","3","1","1","622.41","1.00","586.41","1.00"
"program","7","12.39","7","2","1","721.45","1.00","592.19","1.00"
"programmer","10","10.39","8","3","2","687.35","1.00","705.43","1.00"
"programs","8","11.60","8","2","2","644.43","1.00","653.44","1.00"
"progressed","10","7.10","8","2","3","703.56","1.00","665.55","1.00"
"prohibit","8","8.21","8","3","2","704.38","0.97","671.65","1.00"
"prolonged","9","7.59","7","2","3","718.55","1.00","649.56","1.00"
"project","7","11.40","7","2","2","610.36","0.97","595.89","1.00"
"projection","10","8.15","8","3","3","676.32","0.97","677.67","1.00"
"projector","9","7.23","8","3","3","713.53","0.97","686.96","1.00"
"promise","7","9.57","6","2","1","584.18","1.00","607.00","1.00"
"promised","8","9.20","7","2","2","667.21","1.00","654.22","1.00"
"promising","9","8.28","8","3","2","643.85","1.00","627.17","1.00"
"promote","7","9.44","6","2","2","652.13","0.94","617.30","1.00"
"promotes","8","7.81","7","2","3","675.52","0.97","656.79","1.00"
"promotion","9","8.79","7","3","3","648.23","0.91","656.18","1.00"
"prompt","6","9.61","6","1","1","580.91","1.00","645.36","1.00"
"prompted","8","8.07","8","2","2","712.25","0.97","636.34","1.00"
"prompts","7","7.37","7","1","2","670.06","0.97","609.11","1.00"
"pronounce","9","7.83","7","2","2","670.78","1.00","615.46","1.00"
"pronounced","10","8.60","8","2","3","731.30","0.97","700.89","1.00"
"proof","5","10.27","4","1","1","615.56","0.94","597.50","1.00"
"proper","6","10.36","5","2","1","641.65","1.00","592.52","1.00"
"properly","8","10.29","7","3","2","664.15","1.00","645.76","1.00"
"property","8","10.41","7","3","1","607.15","1.00","623.96","1.00"
"prophecy","8","8.09","7","3","2","669.24","1.00","699.33","0.96"
"prophets","8","7.89","7","2","3","730.64","1.00","663.23","1.00"
"proposal","8","9.85","7","3","3","705.45","0.97","626.61","1.00"
"proposed","8","9.99","7","2","3","630.65","1.00","656.11","1.00"
"props","5","7.33","5","1","2","673.36","1.00","627.85","1.00"
"pros","4","8.77","4","1","2","724.97","0.97","700.79","1.00"
"prospect","8","8.27","8","2","2","624.56","0.94","642.11","1.00"
"prosper","7","7.41","6","2","1","708.06","1.00","683.93","1.00"
"protection","10","10.40","8","3","2","690.00","1.00","650.32","1.00"
"protects","8","7.98","8","2","2","629.16","0.97","705.59","1.00"
"protein","7","9.65","6","2","1","639.85","1.00","631.19","1.00"
"proteins","8","7.72","7","2","2","730.06","1.00","698.69","1.00"
"protest","7","9.13","7","2","1","583.29","1.00","622.00","1.00"
"proud","5","9.72","4","1","1","613.24","0.97","615.77","1.00"
"proudly","7","7.75","6","2","2","610.86","1.00","625.11","1.00"
"proved","6","9.08","5","1","2","624.35","0.91","642.14","1.00"
"proven","6","9.73","5","2","2","712.39","0.94","629.36","0.97"
"provide","7","11.54","6","2","2","691.65","0.97","633.59","1.00"
"provided","8","10.83","8","3","3","687.41","1.00","637.29","1.00"
"providence","10","7.89","8","3","3","652.65","1.00","675.36","1.00"
"provider","8","10.09","7","3","3","646.28","1.00","602.33","1.00"
"provides","8","10.70","7","2","3","680.09","1.00","596.50","1.00"
"providing","9","10.25","8","3","3","767.33","1.00","624.04","1.00"
"proving","7","8.33","6","2","2","669.71","0.91","691.93","1.00"
"provision","9","8.78","7","3","3","713.06","0.97","642.87","1.00"
"provoke","7","7.35","6","2","2","738.94","0.97","649.30","1.00"
"provoked","8","6.95","7","2","3","729.64","1.00","593.26","1.00"
"prudent","7","7.10","6","2","2","688.47","0.97","669.88","1.00"
"psycho","6","7.66","4","2","1","738.56","1.00","675.57","1.00"
"pub","3","11.54","3","1","1","660.71","0.97","593.71","1.00"
"puberty","7","6.92","7","3","1","667.24","0.97","670.78","1.00"
"public","6","11.94","6","2","1","611.16","0.97","631.04","1.00"
"publish","7","9.24","6","2","1","742.35","0.97","623.54","1.00"
"publisher","9","9.45","7","3","2","657.18","1.00","644.00","1.00"
"publishers","10","9.03","8","3","3","720.52","0.97","613.85","1.00"
"publishing","10","10.07","8","3","2","746.12","1.00","658.93","1.00"
"puddle","6","6.81","4","2","1","690.10","0.91","649.07","1.00"
"prep","4","7.69","4","1","1","667.32","0.91","623.96","1.00"
"prepare","7","9.31","6","2","1","677.88","0.97","612.36","1.00"
"prepares","8","6.96","7","2","2","705.32","0.94","624.36","1.00"
"preparing","9","8.68","8","3","2","676.42","1.00","691.96","1.00"
"present","7","11.08","6","2","2","654.13","0.97","680.82","1.00"
"presently","9","8.85","8","3","3","695.52","0.97","675.00","1.00"
"presents","8","9.16","7","2","3","673.70","1.00","618.73","1.00"
"preserve","8","8.75","6","2","2","671.33","1.00","617.81","0.96"
"president","9","11.22","8","3","2","709.67","1.00","662.21","1.00"
"press","5","11.26","4","1","1","570.06","1.00","578.33","1.00"
"pressed","7","9.07","5","1","2","646.33","0.97","624.42","1.00"
"pressure","8","10.26","5","2","2","631.56","1.00","638.64","1.00"
"pressures","9","7.93","6","2","3","686.73","0.97","685.23","1.00"
"presume","7","8.63","6","2","2","706.42","0.91","650.38","1.00"
"presumed","8","7.57","7","2","3","727.64","1.00","678.40","1.00"
"pretend","7","8.89","7","2","2","610.63","0.97","701.11","1.00"
"pretty","6","11.78","5","2","1","613.88","0.97","637.67","1.00"
"prevail","7","7.36","6","2","2","718.91","0.97","685.54","1.00"
"prevents","8","8.64","8","2","2","704.50","1.00","664.93","1.00"
"preview","7","8.63","6","2","2","675.00","1.00","663.46","1.00"
"previous","8","11.13","7","2","1","598.76","0.97","626.68","1.00"
"prey","4","8.21","3","1","1","591.63","0.94","592.93","1.00"
"price","5","11.94","4","1","1","619.71","1.00","603.14","1.00"
"priced","6","8.83","5","1","2","645.36","0.97","650.54","1.00"
"priceless","9","6.82","7","2","2","661.88","1.00","617.00","1.00"
"prices","6","10.99","6","2","2","629.68","0.97","628.38","1.00"
"prick","5","8.08","4","1","1","689.47","1.00","559.11","1.00"
"pride","5","9.02","4","1","1","581.11","1.00","574.25","1.00"
"priest","6","9.58","5","1","1","687.73","0.97","583.26","1.00"
"priests","7","8.19","6","1","2","711.61","1.00","635.67","1.00"
"primary","7","10.35","7","3","2","706.79","1.00","600.36","1.00"
"primate","7","7.63","6","2","1","695.24","1.00","647.96","0.96"
"prime","5","10.00","4","1","1","689.85","0.97","649.32","1.00"
"prince","6","9.31","5","1","1","618.24","1.00","627.27","1.00"
"principal","9","9.13","8","3","1","620.06","0.97","585.17","1.00"
"principle","9","9.63","8","3","1","689.38","0.97","645.73","1.00"
"print","5","11.03","5","1","1","607.73","0.97","606.18","1.00"
"printed","7","9.93","7","2","2","695.97","1.00","635.52","1.00"
"printer","7","10.61","6","2","2","656.67","0.97","624.00","1.00"
