"","wordlist","neg.avg","neg.sd","RT","RT.sd","avg.cor","avg.inc","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"189","FACELESS",0.607843137254902,0.490642390492787,885.773330226161,322.383901659806,0.607843137254902,0.392156862745098,"8","733","6.6","6","2","2","630.53","1","649.42","1","4422","2.58","1.74","19","4.1","2.19","21","3.91","2.33","34","2.22","1.56","9","2.9","1.91","10","3.62","1.92","8","4.38","2.36","13","4.5","2.38","14","3.5","2.26","20","2.56","2.01","9","2.6","1.58","10","4.69","1.7","13","3.12","2.64","8","4","2.33","22","3.75","2.42","12","2.6","1.96","10","2.56","1.59","9","3.93","2.2","14","4.43","2.3","7","4.59","2.53","17","3.24","1.95","17","NEG"
"196","FALLOUT",0.607843137254902,0.490642390492787,884.048133886406,458.498499415193,0.607843137254902,0.392156862745098,"7","650","6.48","5","2","2","731.67","0.97","682.12","1","4454","2.84","1.74","19","4.55","2.34","22","3.45","1.92","22","3.56","1.88","9","2.2","1.4","10","4.75","1.83","8","4.43","2.65","14","3.36","2.25","11","3.55","1.63","11","4.43","1.4","7","1.92","1.16","12","5.1","1.79","10","4.08","2.71","12","3.54","2.18","13","3.33","1.58","9","2.7","1.49","10","3","2.06","9","4.38","2.88","8","4.64","2.1","14","3.07","1.54","14","4.12","2.42","8","NEG"
"205","FIGHTER",0.480392156862745,0.502082636030388,898.906966309296,315.816786153432,0,1,"7","13334","9.5","4","2","2","649.55","0.97","672.96","1","4610","5.1","2.3","21","5.3","2.16","23","6.42","2.27","26","5.27","2.33","11","4.9","2.38","10","5.64","1.8","11","5","2.49","12","6.45","1.75","11","6.21","2.64","14","6","2.67","10","4.27","1.62","11","5.18","2.14","11","5.42","2.27","12","6.06","2.46","17","6.88","1.73","8","5.23","2.55","13","4.88","1.96","8","5.6","2.35","15","4.75","1.75","8","6.88","2.42","17","5.56","1.74","9","AMB"
"243","GREASY",0.588235294117647,0.494583356537373,910.322453229039,838.061873927049,0.588235294117647,0.411764705882353,"6","1030","6.94","5","2","2","585.39","0.97","640.77","1","5374","2.94","1.51","18","4.55","2.28","20","3.88","1.74","25","3.6","0.55","5","2.69","1.7","13","4.55","2.38","11","4.56","2.3","9","3.94","1.77","16","3.78","1.79","9","2.86","1.77","7","3","1.41","11","3.44","2.46","9","5.45","1.75","11","3.9","1.8","20","3.8","1.64","5","2.78","1.92","9","3.11","1.05","9","4","2.32","11","5.22","2.17","9","3.79","1.75","19","4.17","1.83","6","NEG"
"251","GRIN",0.509803921568627,0.502372550000863,932.832596047342,1112.41364221853,0.490196078431373,0.509803921568627,"4","8803","9.08","4","1","1","656.3","0.97","607.89","1","5404","7.66","1.66","872","5.65","2.74","20","5.58","2.48","19","7.52","1.72","334","7.76","1.6","532","7","1.15","7","4.92","3.09","13","5.3","2.54","10","5.89","2.52","9","7.57","1.71","419","7.75","1.59","446","5.36","3.17","11","6","2.24","9","4.88","1.64","8","5.8","2.9","10","7.59","1.77","481","7.75","1.51","391","5.92","3.15","12","5.25","2.12","8","5.88","1.89","8","5.36","2.91","11","POS"
"259","HAIL",0.568627450980392,0.497713662195456,888.170440147019,328.689464916466,0,1,"4","3226","8.08","3","1","1","652.69","0.97","640.07","1","5529","4.81","2.36","21","3.83","2.72","23","4.44","2.55","18","5.11","2.76","9","4.58","2.11","12","4.27","2.72","11","3.42","2.78","12","4.2","2.86","10","4.75","2.25","8","4.57","1.62","7","5","2.8","13","4.45","2.84","11","3.25","2.6","12","4.86","3.13","7","4.18","2.23","11","4.08","2.29","13","6","2.07","8","4.18","3.16","11","3.5","2.35","12","3.44","2.01","9","5.44","2.74","9","AMB"
"261","HANG",0.568627450980392,0.497713662195456,940.985929050127,348.955780211521,0,1,"4","17803","9.79","3","1","1","602.58","0.97","644.22","1","5584","3.1","1.84","21","4.86","2.37","21","4.61","2.12","18","3","2.37","6","3.14","1.75","14","3.71","2.56","7","5.43","2.14","14","3.56","1.33","9","5.88","2.36","8","3.08","2.02","13","3.14","1.77","7","5","2.35","9","4.75","2.49","12","5","2.67","10","4.12","1.13","8","3.38","1.98","13","2.62","1.6","8","5.5","2.88","6","4.6","2.2","15","4.8","2.57","10","4.38","1.51","8","AMB"
"268","HEADSTONE",0.509803921568627,0.502372550000863,966.312453172824,441.421449820109,0.509803921568627,0.490196078431373,"9","284","5.65","7","2","2","731.85","0.97","565.56","1","5670","2.45","1.23","20","4.18","2.51","17","3.6","2.19","20","2.8","1.64","5","2.33","1.11","15","4.33","2.16","6","4.09","2.77","11","3.89","2.03","9","3.36","2.38","11","3","1.05","10","1.9","1.2","10","4.2","2.04","10","4.14","3.24","7","4","2.16","10","3.2","2.25","10","2.75","1.29","12","2","1.07","8","3.33","3.08","9","5.12","1.25","8","3.4","2.37","10","3.8","2.1","10","NEG"
"301","INHERIT",0.441176470588235,0.498979739499495,893.087802107674,332.536790152723,0.558823529411765,0.441176470588235,"7","1968","7.58","7","3","2","725.27","0.97","639.39","1","6381","7.11","1.71","18","4.35","2.48","20","4.76","1.9","25","8.2","0.84","5","6.69","1.8","13","4.18","2.68","11","4.56","2.35","9","4.81","1.68","16","4.67","2.35","9","6.57","2.07","7","7.45","1.44","11","4.11","2.15","9","4.55","2.81","11","4.6","1.98","20","5.4","1.52","5","6.78","1.92","9","7.44","1.51","9","4","2.24","11","4.78","2.82","9","4.84","1.54","19","4.5","2.95","6","POS"
"312","ITCHY",0.57843137254902,0.49624879000384,895.675632319882,1241.03586910534,0.57843137254902,0.42156862745098,"5","865","6.76","3","2","2","629.88","1","613.64","1","6634","2.53","1.43","19","4.9","2.26","21","3","1.65","20","3.67","1.15","3","2.31","1.4","16","5.5","2.43","6","4.67","2.23","15","4","2","6","2.57","1.34","14","2.5","1.35","10","2.56","1.59","9","4.57","2.88","7","5.07","1.98","14","3.4","1.84","10","2.6","1.43","10","2.62","1.51","8","2.45","1.44","11","4.56","3","9","5.17","1.59","12","2.75","1.67","8","3.17","1.7","12","NEG"
