Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
81,1580747049340,03/02/2020 16:24:09,1580747048490,-5,03/02/2020 11:24:08,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,51,37,1,stim,Zone1,fixation,1984.7409999999945,,,0,1,0,,,,,2,trial,,,ambiguous,block2,,,,,,,,7570.jpg,,AF34SUS.JPG,,,
82,1580747050120,03/02/2020 16:24:10,1580747049302,-5,03/02/2020 11:24:09,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,50,38,1,stim,advancementZone,response_keyboard,791.1999999778345,negative,1,0,1,0,,,,,2,trial,,,ambiguous,block2,,,,,,,,7460.jpg,,AF13SUS.JPG,,,
83,1580747051325,03/02/2020 16:24:11,1580747050492,-5,03/02/2020 11:24:10,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,50,38,1,stim,Zone3,timelimit_screen,2001.74500000001,,,0,1,0,,,1,,2,trial,,,ambiguous,block2,,,,,,,,7460.jpg,,AF13SUS.JPG,,,
84,1580747052199,03/02/2020 16:24:12,1580747051358,-5,03/02/2020 11:24:11,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,48,39,1,stim,advancementZone,response_keyboard,843.6300000175834,negative,1,0,1,0,,,,,2,trial,,,ambiguous,block2,,,,,,,,4598.jpg,,27M_SP_O.jpg,,,
85,1580747053309,03/02/2020 16:24:13,1580747052477,-5,03/02/2020 11:24:12,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,48,39,1,stim,Zone1,fixation,1985.1290000000008,,,0,1,0,,,,,2,trial,,,ambiguous,block2,,,,,,,,4598.jpg,,27M_SP_O.jpg,,,
86,1580747054075,03/02/2020 16:24:14,1580747053253,-5,03/02/2020 11:24:13,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,40,40,1,stim,advancementZone,response_keyboard,758.4849999984726,positive,1,1,0,0,,,,,2,trial,,,positive,block2,,,,,,,,2550.jpg,,AF06HAS.jpg,,,
87,1580747055299,03/02/2020 16:24:15,1580747054479,-5,03/02/2020 11:24:14,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,40,40,1,stim,Zone3,timelimit_screen,2001.6379999999917,,,0,1,0,,,1,,2,trial,,,positive,block2,,,,,,,,2550.jpg,,AF06HAS.jpg,,,
88,1580747056121,03/02/2020 16:24:16,1580747055297,-5,03/02/2020 11:24:15,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,53,41,1,stim,advancementZone,response_keyboard,800.5600000033155,negative,1,0,1,0,,,,,2,trial,,,ambiguous,block2,,,,,,,,8060.jpg,,AM12SUS.JPG,,,
89,1580747057293,03/02/2020 16:24:17,1580747056463,-5,03/02/2020 11:24:16,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,53,41,1,stim,Zone1,fixation,1984.6900000000023,,,0,1,0,,,,,2,trial,,,ambiguous,block2,,,,,,,,8060.jpg,,AM12SUS.JPG,,,
90,1580747058199,03/02/2020 16:24:18,1580747057373,-5,03/02/2020 11:24:17,10365,5,task-rugu,,3849588,jf374oil,1086069,,complete,kiffny,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1200,1920x1057,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,orders 8 and 10 - 2,41,42,1,stim,advancementZone,response_keyboard,890.9200000052806,positive,1,1,0,0,,,,,2,trial,,,positive,block2,,,,,,,,5825.jpg,,AF08HAS.jpg,,,
