Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
11,1572543336838,31/10/2019 17:35:36,1572543344434,-5,31/10/2019 12:35:44,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,9,2,1,stim,Zone3,timelimit_screen,2000,,,0,1,0,,,1,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral guy2.jpg
12,1572543337619,31/10/2019 17:35:37,1572543345219,-5,31/10/2019 12:35:45,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,7,3,1,stim,advancementZone,response_keyboard,768,positive,1,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral woman.jpg
13,1572543338807,31/10/2019 17:35:38,1572543346416,-5,31/10/2019 12:35:46,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,7,3,1,stim,Zone1,fixation,1983.3400000000001,,,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral woman.jpg
14,1572543339635,31/10/2019 17:35:39,1572543347236,-5,31/10/2019 12:35:47,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,8,4,1,stim,advancementZone,response_keyboard,804,positive,1,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral woman2.jpg
15,1572543340807,31/10/2019 17:35:40,1572543348417,-5,31/10/2019 12:35:48,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,8,4,1,stim,Zone3,timelimit_screen,2000,,,0,1,0,,,1,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral woman2.jpg
16,1572543341744,31/10/2019 17:35:41,1572543349323,-5,31/10/2019 12:35:49,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,4,5,1,stim,advancementZone,response_keyboard,889,positive,1,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide2.jpeg
17,1572543342809,31/10/2019 17:35:42,1572543350400,-5,31/10/2019 12:35:50,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,4,5,1,stim,Zone1,fixation,1983.3399999999965,,,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide2.jpeg
18,1572543343307,31/10/2019 17:35:43,1572543350915,-5,31/10/2019 12:35:50,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,5,6,1,stim,advancementZone,response_keyboard,498,positive,1,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide3.jpeg
19,1572543344807,31/10/2019 17:35:44,1572543352401,-5,31/10/2019 12:35:52,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,5,6,1,stim,Zone3,timelimit_screen,2000,,,0,1,0,,,1,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide3.jpeg
20,1572543345244,31/10/2019 17:35:45,1572543352851,-5,31/10/2019 12:35:52,10365,4,task-bx4b,,3270177,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,example,6,7,1,stim,advancementZone,response_keyboard,435,positive,1,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide4.jpeg
