Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Question Key,Response
7,1574373421883,21/11/2019 21:57:01,1574373421868,-8,21/11/2019 13:57:01,10365,5,questionnaire-mie5,,3391660,AIOOOO5OXWXKM,957215,,complete,wmgllr,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1920x1080,1374x992,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,energetic-quantised,2
8,1574373421883,21/11/2019 21:57:01,1574373421868,-8,21/11/2019 13:57:01,10365,5,questionnaire-mie5,,3391660,AIOOOO5OXWXKM,957215,,complete,wmgllr,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1920x1080,1374x992,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,tense,1 - doesn't fit at all
9,1574373421883,21/11/2019 21:57:01,1574373421868,-8,21/11/2019 13:57:01,10365,5,questionnaire-mie5,,3391660,AIOOOO5OXWXKM,957215,,complete,wmgllr,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1920x1080,1374x992,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,tense-quantised,1
10,1574373421883,21/11/2019 21:57:01,1574373421868,-8,21/11/2019 13:57:01,10365,5,questionnaire-mie5,,3391660,AIOOOO5OXWXKM,957215,,complete,wmgllr,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1920x1080,1374x992,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,cheerful,1 - doesn't fit at all
11,1574373421883,21/11/2019 21:57:01,1574373421868,-8,21/11/2019 13:57:01,10365,5,questionnaire-mie5,,3391660,AIOOOO5OXWXKM,957215,,complete,wmgllr,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1920x1080,1374x992,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,cheerful-quantised,1
12,1574373421883,21/11/2019 21:57:01,1574373421869,-8,21/11/2019 13:57:01,10365,5,questionnaire-mie5,,3391660,AIOOOO5OXWXKM,957215,,complete,wmgllr,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1920x1080,1374x992,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,inhibited,4 - fits very well
13,1574373421883,21/11/2019 21:57:01,1574373421869,-8,21/11/2019 13:57:01,10365,5,questionnaire-mie5,,3391660,AIOOOO5OXWXKM,957215,,complete,wmgllr,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1920x1080,1374x992,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,inhibited-quantised,4
14,1574373421883,21/11/2019 21:57:01,1574373421869,-8,21/11/2019 13:57:01,10365,5,questionnaire-mie5,,3391660,AIOOOO5OXWXKM,957215,,complete,wmgllr,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1920x1080,1374x992,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,END QUESTIONNAIRE,16699
1,1574373537512,21/11/2019 21:58:57,1574373538395,-6,21/11/2019 15:58:58,10365,5,questionnaire-mie5,,3391691,A2G4PA35IX5RIA,957232,,complete,xkpvyb,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1600x900,1600x746,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,BEGIN QUESTIONNAIRE,
2,1574373549112,21/11/2019 21:59:09,1574373550054,-6,21/11/2019 15:59:10,10365,5,questionnaire-mie5,,3391691,A2G4PA35IX5RIA,957232,,complete,xkpvyb,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1600x900,1583x746,approve with $2.15 bonus,IPANAT SAMFE,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,,,,order10,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,Continue,,,,,,,,happy,2 - fits somewhat
